"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","74.66","77.36","74.00","74.66","76.00","75.80","75.64","113.05","46.10","7,861","5,94,612.47","382"
"09-Apr-2025","EQ","77.99","77.99","72.15","74.20","74.00","74.66","73.69","113.05","46.10","5,573","4,10,662.96","483"
"08-Apr-2025","EQ","77.80","77.80","72.37","72.42","73.21","74.20","73.71","113.05","46.10","18,258","13,45,846.74","1,532"
"07-Apr-2025","EQ","76.00","76.00","70.00","77.22","72.50","72.42","71.39","113.05","46.10","16,857","12,03,343.02","971"
"04-Apr-2025","EQ","75.49","78.56","73.64","74.36","78.00","77.22","75.92","113.05","46.10","13,679","10,38,504.99","527"
"03-Apr-2025","EQ","70.50","74.70","70.00","72.65","74.30","74.36","73.48","113.05","46.10","14,223","10,45,136.57","810"
"02-Apr-2025","EQ","72.21","74.00","71.26","72.20","72.70","72.65","72.54","113.05","46.10","13,622","9,88,165.55","910"
"01-Apr-2025","EQ","70.70","72.99","69.01","70.73","72.09","72.20","71.64","113.05","46.10","18,520","13,26,715.28","1,371"
"28-Mar-2025","EQ","68.95","72.00","68.95","68.05","70.99","70.73","70.73","113.05","46.10","31,507","22,28,506.79","1,834"
"27-Mar-2025","EQ","75.00","75.07","67.16","76.12","68.60","68.05","70.95","113.05","46.10","48,056","34,09,648.37","2,589"
"26-Mar-2025","EQ","76.71","79.15","74.00","79.41","74.89","76.12","77.79","113.05","46.10","18,390","14,30,618.83","1,133"
"25-Mar-2025","EQ","80.90","81.00","78.00","79.22","79.26","79.41","79.33","113.05","46.10","38,775","30,76,196.59","891"
"24-Mar-2025","EQ","79.90","80.20","78.20","78.53","80.20","79.22","79.12","113.05","46.10","13,278","10,50,503.45","1,150"
"21-Mar-2025","EQ","76.62","80.50","75.61","77.10","77.70","78.53","78.87","113.05","46.10","27,866","21,97,731.84","1,271"
"20-Mar-2025","EQ","77.90","78.65","76.35","77.89","77.00","77.10","77.53","113.05","46.10","18,647","14,45,784.50","992"
"19-Mar-2025","EQ","82.00","82.00","77.50","78.26","77.80","77.89","78.86","113.05","46.10","37,106","29,26,190.31","1,132"
"18-Mar-2025","EQ","78.25","80.84","77.00","78.25","78.80","78.26","78.98","113.05","46.10","16,449","12,99,206.60","788"
"17-Mar-2025","EQ","74.24","84.73","74.24","73.51","75.60","78.25","80.25","113.05","46.10","1,60,160","1,28,52,744.25","4,349"
"13-Mar-2025","EQ","72.12","75.68","71.50","72.11","75.65","73.51","73.91","113.05","46.10","32,467","23,99,549.35","1,237"
"12-Mar-2025","EQ","73.79","78.10","71.70","73.78","72.40","72.11","74.54","113.05","46.10","44,080","32,85,799.69","1,903"
