"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","3,289.55","3,298.95","3,206.00","3,246.60","3,238.00","3,231.50","3,243.04","4,592.25","3,056.05","71,08,961","23,05,46,18,625.45","3,54,463"
"09-Apr-2025","EQ","3,260.55","3,270.00","3,212.05","3,292.95","3,239.00","3,246.60","3,248.58","4,592.25","3,056.05","29,90,265","9,71,41,05,049.50","1,84,251"
"08-Apr-2025","EQ","3,302.05","3,349.00","3,255.30","3,274.05","3,292.80","3,292.95","3,296.22","4,592.25","3,056.05","55,57,558","18,31,89,27,917.45","2,36,248"
"07-Apr-2025","EQ","3,100.00","3,291.40","3,056.05","3,299.40","3,285.00","3,274.05","3,167.51","4,592.25","3,056.05","66,23,955","20,98,14,63,559.10","3,86,019"
"04-Apr-2025","EQ","3,362.60","3,399.65","3,295.50","3,403.15","3,304.85","3,299.40","3,318.10","4,592.25","3,295.50","53,17,367","17,64,35,41,008.05","2,16,133"
"03-Apr-2025","EQ","3,491.00","3,502.00","3,396.15","3,543.95","3,403.30","3,403.15","3,422.75","4,592.25","3,396.15","45,37,821","15,53,18,09,156.15","2,48,807"
"02-Apr-2025","EQ","3,544.00","3,564.10","3,530.05","3,550.80","3,545.00","3,543.95","3,547.15","4,592.25","3,457.00","17,64,313","6,25,82,90,323.80","80,651"
"01-Apr-2025","EQ","3,572.70","3,584.00","3,525.00","3,606.15","3,556.45","3,550.80","3,548.01","4,592.25","3,457.00","26,18,493","9,29,04,45,221.40","1,67,344"
"28-Mar-2025","EQ","3,651.00","3,660.95","3,591.90","3,651.20","3,604.00","3,606.15","3,613.75","4,592.25","3,457.00","20,51,919","7,41,51,24,946.40","1,29,740"
"27-Mar-2025","EQ","3,614.85","3,663.00","3,610.50","3,635.80","3,645.00","3,651.20","3,649.02","4,592.25","3,457.00","25,28,474","9,22,64,48,354.45","1,25,080"
"26-Mar-2025","EQ","3,647.75","3,680.50","3,625.85","3,657.75","3,630.55","3,635.80","3,656.16","4,592.25","3,457.00","17,34,499","6,34,15,97,992.40","1,41,204"
"25-Mar-2025","EQ","3,645.00","3,710.00","3,638.00","3,628.95","3,641.00","3,657.75","3,673.54","4,592.25","3,457.00","31,35,390","11,51,79,85,340.80","1,81,313"
"24-Mar-2025","EQ","3,600.00","3,649.75","3,566.60","3,578.10","3,633.00","3,628.95","3,615.19","4,592.25","3,457.00","18,34,751","6,63,29,70,557.70","1,07,825"
"21-Mar-2025","EQ","3,475.00","3,616.25","3,465.00","3,563.15","3,578.00","3,578.10","3,561.68","4,592.25","3,457.00","41,61,925","14,82,34,64,307.85","1,88,951"
"20-Mar-2025","EQ","3,512.00","3,578.95","3,512.00","3,497.10","3,556.50","3,563.15","3,559.81","4,592.25","3,457.00","28,45,192","10,12,83,43,015.65","1,56,792"
"19-Mar-2025","EQ","3,547.00","3,547.00","3,462.75","3,552.45","3,505.00","3,497.10","3,484.81","4,592.25","3,457.00","30,51,244","10,63,29,94,898.70","1,81,144"
"18-Mar-2025","EQ","3,502.35","3,556.95","3,478.45","3,497.70","3,545.65","3,552.45","3,530.44","4,592.25","3,457.00","30,69,109","10,83,52,99,304.90","1,39,204"
"17-Mar-2025","EQ","3,489.00","3,530.45","3,477.35","3,511.05","3,499.90","3,497.70","3,496.62","4,592.25","3,457.00","26,90,906","9,40,90,68,295.75","1,71,510"
"13-Mar-2025","EQ","3,502.30","3,524.30","3,484.10","3,506.20","3,509.05","3,511.05","3,504.71","4,592.25","3,457.00","16,93,004","5,93,34,91,139.45","98,963"
"12-Mar-2025","EQ","3,565.00","3,569.25","3,486.85","3,575.30","3,507.80","3,506.20","3,504.81","4,592.25","3,457.00","31,74,167","11,12,48,52,701.55","1,75,588"
