"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","245.00","245.00","238.35","236.65","240.40","239.75","240.83","596.00","228.00","1,12,05,821","2,69,86,46,786.80","1,12,385"
"09-Apr-2025","EQ","240.70","242.30","234.00","247.25","236.80","236.65","236.45","596.00","228.00","1,90,63,559","4,50,75,91,286.20","1,77,126"
"08-Apr-2025","EQ","244.75","249.50","243.85","242.90","247.20","247.25","246.66","596.00","228.00","1,38,06,651","3,40,55,76,991.35","97,863"
"07-Apr-2025","EQ","231.05","243.85","228.00","246.30","243.15","242.90","236.82","596.00","228.00","1,30,11,904","3,08,14,23,050.90","1,97,179"
"04-Apr-2025","EQ","253.00","253.95","244.85","256.35","246.95","246.30","247.56","596.00","244.85","1,46,39,785","3,62,41,85,665.55","1,31,920"
"03-Apr-2025","EQ","259.90","260.50","255.30","263.60","256.65","256.35","257.42","596.00","255.30","1,22,62,561","3,15,65,92,884.40","1,26,957"
"02-Apr-2025","EQ","262.80","265.55","261.10","262.60","263.50","263.60","263.37","596.00","256.25","71,36,992","1,87,96,84,079.80","65,188"
"01-Apr-2025","EQ","260.35","263.00","258.50","262.25","262.25","262.60","261.23","596.00","256.25","83,88,635","2,19,13,24,421.10","89,708"
"28-Mar-2025","EQ","271.00","271.85","261.60","272.20","262.50","262.25","264.88","596.00","256.25","1,42,83,389","3,78,33,99,202.10","1,24,803"
"27-Mar-2025","EQ","270.00","273.55","269.60","267.40","272.00","272.20","271.48","596.00","256.25","1,47,83,522","4,01,34,43,070.30","1,28,142"
"26-Mar-2025","EQ","272.00","272.25","266.75","271.00","267.20","267.40","268.87","596.00","256.25","73,08,412","1,96,50,09,474.90","89,521"
"25-Mar-2025","EQ","272.00","274.70","269.35","269.40","269.95","271.00","271.98","596.00","256.25","1,25,63,930","3,41,71,66,625.90","1,16,461"
"24-Mar-2025","EQ","267.05","271.65","265.40","264.30","269.00","269.40","268.68","596.00","256.25","92,69,617","2,49,05,70,375.90","87,706"
"21-Mar-2025","EQ","264.00","269.55","260.20","268.00","264.30","264.30","265.52","596.00","256.25","2,26,59,168","6,01,63,95,169.10","1,45,333"
"20-Mar-2025","EQ","269.20","273.95","267.50","265.70","267.70","268.00","269.98","596.00","256.25","1,70,38,774","4,60,01,18,073.60","1,44,401"
"19-Mar-2025","EQ","262.00","266.50","256.25","261.25","265.90","265.70","262.49","596.00","256.25","1,40,44,300","3,68,64,85,769.80","1,17,529"
"18-Mar-2025","EQ","261.75","263.05","259.40","259.85","261.50","261.25","260.79","596.00","258.90","1,14,50,247","2,98,61,51,593.00","1,17,088"
"17-Mar-2025","EQ","264.00","265.20","258.90","264.00","259.95","259.85","261.42","596.00","258.90","1,26,97,930","3,31,94,84,001.25","1,26,107"
"13-Mar-2025","EQ","268.55","271.10","263.35","268.55","264.20","264.00","265.88","596.00","262.20","86,83,943","2,30,88,87,106.60","1,11,642"
"12-Mar-2025","EQ","277.70","277.70","262.20","277.75","268.20","268.55","266.29","596.00","262.20","1,85,84,311","4,94,88,46,757.60","1,80,741"
