"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","E1","1,287.95","1,324.00","1,287.95","1,273.95","1,311.00","1,313.60","1,311.10","1,367.30","779.00","1,00,786","13,21,40,458.75","3,215"
"09-Apr-2025","E1","1,288.45","1,288.85","1,266.25","1,288.40","1,271.00","1,273.95","1,271.25","1,367.30","779.00","1,50,021","19,07,14,331.75","1,737"
"08-Apr-2025","E1","1,278.00","1,304.55","1,257.20","1,240.55","1,293.40","1,288.40","1,286.42","1,367.30","779.00","3,82,863","49,25,21,859.50","3,239"
"07-Apr-2025","E1","1,282.00","1,336.00","1,221.05","1,309.70","1,252.70","1,240.55","1,236.52","1,367.30","779.00","10,31,662","1,27,56,71,085.65","46,253"
"04-Apr-2025","E1","1,311.10","1,327.40","1,303.10","1,311.10","1,307.70","1,309.70","1,310.93","1,367.30","779.00","1,74,869","22,92,41,159.30","2,534"
"03-Apr-2025","E1","1,313.35","1,319.95","1,296.20","1,313.35","1,309.30","1,311.10","1,306.84","1,367.30","779.00","3,02,478","39,52,89,435.90","5,753"
"02-Apr-2025","E1","1,287.05","1,315.95","1,275.05","1,284.95","1,314.00","1,313.35","1,308.57","1,367.30","779.00","1,14,692","15,00,82,833.10","5,952"
"01-Apr-2025","E1","1,289.00","1,314.00","1,280.00","1,294.05","1,282.05","1,284.95","1,286.58","1,367.30","779.00","3,66,518","47,15,54,480.70","3,288"
"28-Mar-2025","E1","1,299.00","1,302.35","1,268.55","1,283.90","1,289.85","1,294.05","1,284.53","1,367.30","779.00","1,42,405","18,29,23,807.15","7,908"
"27-Mar-2025","E1","1,293.00","1,293.60","1,270.05","1,284.00","1,286.00","1,283.90","1,283.04","1,367.30","779.00","2,00,904","25,77,68,712.20","4,004"
"26-Mar-2025","E1","1,284.95","1,303.25","1,270.60","1,276.65","1,287.00","1,284.00","1,286.30","1,367.30","779.00","1,90,959","24,56,30,630.75","4,846"
"25-Mar-2025","E1","1,260.00","1,284.20","1,248.00","1,265.05","1,272.45","1,276.65","1,264.76","1,367.30","779.00","1,23,803","15,65,81,060.60","9,812"
"24-Mar-2025","E1","1,269.00","1,275.00","1,256.00","1,264.05","1,263.65","1,265.05","1,265.43","1,367.30","779.00","1,50,136","18,99,86,668.90","10,975"
"21-Mar-2025","E1","1,255.00","1,272.00","1,241.70","1,249.90","1,263.80","1,264.05","1,262.39","1,367.30","779.00","7,39,037","93,29,52,421.70","9,789"
"20-Mar-2025","E1","1,200.00","1,254.85","1,199.00","1,192.20","1,250.00","1,249.90","1,245.75","1,367.30","779.00","3,64,713","45,43,42,939.20","7,978"
"19-Mar-2025","E1","1,185.00","1,196.25","1,176.30","1,173.15","1,189.60","1,192.20","1,187.93","1,367.30","779.00","3,52,456","41,86,91,707.30","3,126"
"18-Mar-2025","E1","1,202.00","1,202.00","1,162.95","1,186.80","1,176.10","1,173.15","1,171.72","1,367.30","779.00","2,11,146","24,74,04,741.95","3,662"
"17-Mar-2025","E1","1,179.05","1,193.30","1,172.65","1,179.05","1,190.00","1,186.80","1,184.00","1,367.30","779.00","4,56,493","54,04,89,218.70","4,668"
"13-Mar-2025","E1","1,198.90","1,198.90","1,174.95","1,183.00","1,178.00","1,179.05","1,183.05","1,367.30","750.20","3,41,604","40,41,33,309.85","3,780"
"12-Mar-2025","E1","1,218.00","1,238.00","1,170.70","1,189.30","1,185.90","1,183.00","1,180.38","1,367.30","750.20","3,35,686","39,62,36,018.90","3,947"
