"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","77.00","77.00","75.30","75.06","76.04","76.01","76.16","171.00","71.60","60,31,521","45,93,71,205.83","22,905"
"09-Apr-2025","EQ","75.35","76.13","73.74","75.96","75.10","75.06","74.85","171.00","71.60","64,43,242","48,22,63,175.21","27,737"
"08-Apr-2025","EQ","76.51","77.17","74.71","74.34","76.35","75.96","76.04","171.00","71.60","84,67,955","64,38,73,003.48","33,721"
"07-Apr-2025","EQ","72.98","75.35","71.60","79.16","75.00","74.34","73.40","171.00","71.60","1,49,63,582","1,09,83,65,333.61","59,463"
"04-Apr-2025","EQ","82.89","83.20","78.67","83.22","79.35","79.16","80.03","171.00","77.00","1,59,13,067","1,27,35,96,088.80","49,006"
"03-Apr-2025","EQ","81.00","83.50","80.60","81.75","83.34","83.22","82.48","171.00","77.00","1,05,92,373","87,36,37,927.14","28,578"
"02-Apr-2025","EQ","80.87","81.90","78.50","80.77","81.89","81.75","80.54","171.00","77.00","1,21,32,102","97,71,32,233.61","31,460"
"01-Apr-2025","EQ","79.20","81.69","78.76","79.10","80.84","80.77","80.64","171.00","77.00","1,13,13,467","91,23,58,503.72","30,637"
"28-Mar-2025","EQ","81.50","83.50","78.70","81.25","78.86","79.10","80.93","171.00","77.00","1,47,83,782","1,19,64,16,854.44","44,241"
"27-Mar-2025","EQ","79.73","81.65","79.29","79.77","81.38","81.25","80.70","171.00","77.00","1,62,35,932","1,31,02,22,913.86","41,840"
"26-Mar-2025","EQ","81.65","82.45","79.50","81.25","80.00","79.77","81.05","171.00","77.00","1,38,88,936","1,12,57,65,177.30","40,367"
"25-Mar-2025","EQ","85.60","85.71","80.95","84.94","81.15","81.25","82.39","171.00","77.00","1,70,53,762","1,40,50,27,966.77","45,108"
"24-Mar-2025","EQ","84.79","85.40","83.40","82.81","85.20","84.94","84.55","171.00","77.00","2,36,75,047","2,00,18,31,446.04","46,686"
"21-Mar-2025","EQ","81.70","84.42","81.30","81.44","83.56","82.81","83.24","171.00","77.00","2,97,80,674","2,47,90,15,295.52","51,777"
"20-Mar-2025","EQ","83.33","83.61","80.82","82.01","81.25","81.44","82.07","171.00","77.00","1,37,78,436","1,13,07,52,200.46","37,898"
"19-Mar-2025","EQ","80.90","82.79","80.15","80.44","81.98","82.01","81.59","171.00","77.00","1,39,86,473","1,14,10,93,413.10","43,973"
"18-Mar-2025","EQ","78.20","80.79","78.17","77.64","80.38","80.44","79.56","171.00","77.00","1,07,90,013","85,84,94,327.23","32,491"
"17-Mar-2025","EQ","78.46","79.45","77.05","77.55","77.44","77.64","78.10","171.00","77.00","1,17,45,897","91,73,82,265.15","29,087"
"13-Mar-2025","EQ","79.70","80.26","77.00","79.12","77.45","77.55","78.17","171.00","77.00","1,79,94,296","1,40,65,39,083.78","37,602"
"12-Mar-2025","EQ","80.85","81.25","78.05","80.26","79.18","79.12","79.39","171.00","77.23","1,00,75,241","79,98,56,507.82","34,641"
