"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","1,564.95","1,600.00","1,543.05","1,547.35","1,555.60","1,564.25","1,577.72","2,175.00","1,291.00","2,98,412","47,08,11,779.10","17,870"
"09-Apr-2025","EQ","1,565.00","1,565.00","1,528.20","1,565.50","1,542.05","1,547.35","1,545.57","2,175.00","1,291.00","1,68,850","26,09,69,180.45","14,091"
"08-Apr-2025","EQ","1,567.35","1,588.20","1,546.30","1,549.85","1,563.15","1,565.50","1,566.39","2,175.00","1,291.00","1,98,820","31,14,28,889.75","15,544"
"07-Apr-2025","EQ","1,512.00","1,565.00","1,495.75","1,598.05","1,565.00","1,549.85","1,533.17","2,175.00","1,291.00","2,97,314","45,58,32,225.15","24,819"
"04-Apr-2025","EQ","1,631.25","1,631.25","1,589.35","1,631.25","1,601.00","1,598.05","1,602.79","2,175.00","1,291.00","2,05,897","33,00,10,278.55","30,117"
"03-Apr-2025","EQ","1,582.00","1,638.65","1,581.95","1,595.20","1,629.00","1,631.25","1,614.36","2,175.00","1,291.00","2,41,455","38,97,94,286.70","18,556"
"02-Apr-2025","EQ","1,583.95","1,598.85","1,561.70","1,579.65","1,592.00","1,595.20","1,588.71","2,175.00","1,291.00","1,91,301","30,39,21,812.95","18,966"
"01-Apr-2025","EQ","1,580.00","1,610.65","1,566.00","1,578.20","1,579.50","1,579.65","1,584.38","2,175.00","1,291.00","2,96,042","46,90,43,448.10","31,603"
"28-Mar-2025","EQ","1,605.00","1,620.00","1,574.95","1,594.55","1,575.00","1,578.20","1,588.31","2,175.00","1,291.00","4,44,943","70,67,07,624.30","25,111"
"27-Mar-2025","EQ","1,603.55","1,612.30","1,580.30","1,604.95","1,589.50","1,594.55","1,594.23","2,175.00","1,291.00","4,89,224","77,99,34,182.40","35,179"
"26-Mar-2025","EQ","1,586.50","1,608.85","1,577.30","1,578.25","1,605.15","1,604.95","1,596.72","2,175.00","1,291.00","2,78,624","44,48,85,660.20","23,549"
"25-Mar-2025","EQ","1,625.00","1,625.00","1,575.30","1,611.95","1,578.05","1,578.25","1,593.52","2,175.00","1,291.00","2,68,096","42,72,15,266.40","24,937"
"24-Mar-2025","EQ","1,619.80","1,631.55","1,597.05","1,610.00","1,612.25","1,611.95","1,614.28","2,175.00","1,291.00","5,01,821","81,00,80,156.50","49,970"
"21-Mar-2025","EQ","1,604.80","1,625.00","1,594.60","1,605.20","1,611.00","1,610.00","1,611.52","2,175.00","1,291.00","4,73,951","76,37,81,544.40","35,230"
"20-Mar-2025","EQ","1,576.10","1,615.00","1,567.00","1,561.10","1,601.25","1,605.20","1,599.62","2,175.00","1,291.00","7,48,197","1,19,68,28,808.75","42,372"
"19-Mar-2025","EQ","1,515.00","1,577.75","1,515.00","1,506.20","1,563.00","1,561.10","1,561.87","2,175.00","1,291.00","12,69,986","1,98,35,56,230.70","65,872"
"18-Mar-2025","EQ","1,504.70","1,519.95","1,491.25","1,502.60","1,507.00","1,506.20","1,506.21","2,175.00","1,291.00","4,05,383","61,05,91,905.45","25,912"
"17-Mar-2025","EQ","1,510.45","1,520.05","1,487.05","1,503.95","1,502.00","1,502.60","1,500.80","2,175.00","1,291.00","3,28,175","49,25,24,951.00","32,948"
"13-Mar-2025","EQ","1,500.00","1,527.00","1,494.75","1,508.05","1,508.95","1,503.95","1,512.88","2,175.00","1,291.00","4,45,092","67,33,72,758.45","29,193"
"12-Mar-2025","EQ","1,487.00","1,519.90","1,476.00","1,492.35","1,505.55","1,508.05","1,501.18","2,175.00","1,291.00","9,62,745","1,44,52,55,995.50","53,742"
