"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","837.00","852.75","822.20","807.55","834.00","837.80","839.25","1,495.00","646.55","22,58,086","1,89,51,04,273.80","64,869"
"09-Apr-2025","EQ","810.55","819.85","799.15","820.15","809.10","807.55","807.18","1,495.00","646.55","10,48,983","84,67,18,540.80","33,598"
"08-Apr-2025","EQ","820.05","845.40","804.35","796.20","816.00","820.15","819.33","1,495.00","646.55","27,06,332","2,21,73,71,981.95","73,293"
"07-Apr-2025","EQ","731.05","808.70","731.05","842.65","802.00","796.20","777.64","1,495.00","646.55","47,85,790","3,72,16,21,850.45","1,41,051"
"04-Apr-2025","EQ","875.15","883.70","827.00","876.35","851.00","842.65","849.11","1,495.00","646.55","58,38,138","4,95,72,20,375.80","1,26,963"
"03-Apr-2025","EQ","784.00","904.00","784.00","803.00","873.10","876.35","874.53","1,495.00","646.55","2,79,00,527","24,39,99,61,048.20","4,88,446"
"02-Apr-2025","EQ","795.00","809.50","771.05","791.70","803.00","803.00","792.63","1,495.00","646.55","16,03,638","1,27,10,84,581.40","44,881"
"01-Apr-2025","EQ","759.15","815.70","759.15","760.45","791.70","791.70","797.39","1,495.00","646.55","57,62,206","4,59,47,01,350.15","1,54,210"
"28-Mar-2025","EQ","785.00","799.70","756.00","776.40","758.00","760.45","774.17","1,495.00","646.55","17,09,221","1,32,32,31,000.60","54,349"
"27-Mar-2025","EQ","748.70","787.35","741.10","748.65","777.20","776.40","772.98","1,495.00","646.55","44,51,431","3,44,08,77,035.60","1,34,442"
"26-Mar-2025","EQ","796.90","807.00","746.30","797.55","751.00","748.65","768.17","1,495.00","646.55","28,52,060","2,19,08,63,268.65","83,546"
"25-Mar-2025","EQ","831.10","841.60","787.00","822.85","796.00","797.55","808.43","1,495.00","646.55","18,03,498","1,45,80,06,844.25","59,955"
"24-Mar-2025","EQ","811.00","844.45","804.05","799.90","826.40","822.85","827.61","1,495.00","646.55","41,78,380","3,45,80,75,854.00","1,16,847"
"21-Mar-2025","EQ","714.20","835.00","709.20","710.50","799.00","799.90","801.85","1,495.00","646.55","1,71,22,444","13,72,96,75,532.95","3,65,860"
"20-Mar-2025","EQ","721.00","737.30","706.20","710.40","708.00","710.50","717.15","1,495.00","646.55","17,08,580","1,22,53,04,542.10","59,032"
"19-Mar-2025","EQ","673.50","725.25","673.50","673.20","712.50","710.40","705.51","1,495.00","646.55","29,38,822","2,07,33,76,555.20","83,753"
"18-Mar-2025","EQ","660.00","677.00","650.05","649.70","672.50","673.20","667.36","1,495.00","646.55","18,02,467","1,20,28,85,463.00","59,672"
"17-Mar-2025","EQ","667.50","689.00","646.55","659.75","647.90","649.70","666.16","1,495.00","646.55","29,24,980","1,94,85,16,747.00","91,875"
"13-Mar-2025","EQ","676.10","682.35","657.00","676.10","658.00","659.75","667.93","1,495.00","651.25","8,60,568","57,48,00,629.70","36,172"
"12-Mar-2025","EQ","690.00","695.80","671.30","686.80","674.50","676.10","681.54","1,495.00","651.25","8,78,754","59,89,02,697.20","38,578"
