"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","3,620.45","3,704.10","3,620.45","3,610.90","3,663.00","3,666.00","3,667.44","6,246.25","3,344.00","4,36,704","1,60,15,87,141.65","42,603"
"09-Apr-2025","EQ","3,590.00","3,678.75","3,538.00","3,574.15","3,621.45","3,610.90","3,615.10","6,246.25","3,344.00","5,84,571","2,11,32,80,031.80","69,533"
"08-Apr-2025","EQ","3,600.00","3,622.90","3,510.25","3,526.90","3,581.00","3,574.15","3,554.61","6,246.25","3,344.00","4,50,859","1,60,26,26,557.80","57,580"
"07-Apr-2025","EQ","3,478.95","3,545.00","3,344.00","3,659.20","3,526.05","3,526.90","3,476.12","6,246.25","3,344.00","6,05,866","2,10,60,62,052.35","69,578"
"04-Apr-2025","EQ","3,744.95","3,744.95","3,632.55","3,753.35","3,662.45","3,659.20","3,666.23","6,246.25","3,461.60","3,30,498","1,21,16,81,429.75","46,613"
"03-Apr-2025","EQ","3,780.00","3,807.10","3,735.65","3,783.95","3,745.00","3,753.35","3,760.69","6,246.25","3,461.60","3,39,509","1,27,67,87,860.05","37,683"
"02-Apr-2025","EQ","3,770.00","3,789.80","3,732.90","3,762.05","3,782.10","3,783.95","3,773.66","6,246.25","3,461.60","3,21,687","1,21,39,36,917.30","30,335"
"01-Apr-2025","EQ","3,707.35","3,816.60","3,707.35","3,722.95","3,767.00","3,762.05","3,774.65","6,246.25","3,461.60","5,06,307","1,91,11,31,129.00","55,234"
"28-Mar-2025","EQ","3,779.00","3,808.75","3,707.35","3,772.05","3,721.00","3,722.95","3,754.96","6,246.25","3,461.60","5,09,889","1,91,46,14,092.60","57,695"
"27-Mar-2025","EQ","3,634.00","3,789.00","3,610.35","3,645.95","3,760.00","3,772.05","3,744.45","6,246.25","3,461.60","15,25,094","5,71,06,40,673.10","1,23,576"
"26-Mar-2025","EQ","3,650.00","3,669.30","3,605.40","3,627.95","3,653.00","3,645.95","3,635.22","6,246.25","3,461.60","7,55,658","2,74,69,82,611.70","66,082"
"25-Mar-2025","EQ","3,652.50","3,675.70","3,615.00","3,626.35","3,630.00","3,627.95","3,642.33","6,246.25","3,461.60","5,44,164","1,98,20,22,619.20","50,512"
"24-Mar-2025","EQ","3,658.00","3,687.35","3,582.85","3,629.00","3,625.75","3,626.35","3,620.65","6,246.25","3,461.60","6,63,262","2,40,14,40,596.20","74,980"
"21-Mar-2025","EQ","3,629.00","3,711.90","3,611.75","3,597.15","3,633.00","3,629.00","3,648.71","6,246.25","3,461.60","11,95,882","4,36,34,26,069.00","70,199"
"20-Mar-2025","EQ","3,579.00","3,634.00","3,561.25","3,537.00","3,600.00","3,597.15","3,599.35","6,246.25","3,461.60","7,71,668","2,77,75,04,495.50","57,314"
"19-Mar-2025","EQ","3,585.00","3,588.85","3,514.15","3,564.65","3,539.95","3,537.00","3,541.17","6,246.25","3,461.60","6,74,188","2,38,74,11,221.00","85,410"
"18-Mar-2025","EQ","3,500.00","3,571.70","3,500.00","3,493.10","3,559.65","3,564.65","3,542.69","6,246.25","3,461.60","5,33,589","1,89,03,42,825.45","45,489"
"17-Mar-2025","EQ","3,486.00","3,549.00","3,461.60","3,529.15","3,490.00","3,493.10","3,503.26","6,246.25","3,461.60","6,73,556","2,35,96,43,366.00","74,618"
"13-Mar-2025","EQ","3,625.00","3,625.55","3,524.35","3,610.25","3,528.65","3,529.15","3,558.55","6,246.25","3,495.00","3,59,751","1,28,01,92,730.50","50,533"
"12-Mar-2025","EQ","3,650.65","3,669.45","3,597.00","3,650.65","3,620.95","3,610.25","3,621.68","6,246.25","3,495.00","3,85,877","1,39,75,22,711.80","42,008"
