"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","22.91","23.00","22.40","22.38","22.74","22.62","22.68","48.60","18.05","5,35,326","1,21,43,513.53","2,759"
"09-Apr-2025","EQ","22.00","22.56","21.87","22.51","22.25","22.38","22.22","48.60","18.05","6,82,485","1,51,64,676.95","3,276"
"08-Apr-2025","EQ","22.89","23.28","22.21","22.18","22.38","22.51","22.49","48.60","18.05","7,36,454","1,65,66,307.96","3,363"
"07-Apr-2025","EQ","21.00","22.50","20.55","23.21","22.50","22.18","21.71","48.60","18.05","13,00,419","2,82,30,829.04","5,368"
"04-Apr-2025","EQ","24.17","24.26","22.89","24.17","23.38","23.21","23.34","48.60","16.40","14,50,690","3,38,59,197.80","5,092"
"03-Apr-2025","EQ","23.50","24.55","23.14","23.80","24.05","24.17","23.95","48.60","16.40","14,35,790","3,43,89,348.58","5,831"
"02-Apr-2025","EQ","23.57","24.32","22.51","23.60","23.90","23.80","23.59","48.60","16.40","27,26,546","6,43,10,317.24","7,902"
"01-Apr-2025","EQ","21.31","24.69","21.30","21.19","23.63","23.60","23.80","48.60","16.40","71,43,589","16,99,97,893.87","24,374"
"28-Mar-2025","EQ","22.11","22.70","20.91","22.01","21.13","21.19","21.74","48.60","15.85","18,34,600","3,98,77,171.29","5,976"
"27-Mar-2025","EQ","21.24","22.28","21.06","21.22","22.18","22.01","21.81","48.60","15.85","20,90,262","4,55,86,223.65","6,496"
"26-Mar-2025","EQ","22.95","23.19","21.00","22.93","21.59","21.22","21.75","48.60","15.85","34,53,993","7,51,27,659.64","13,816"
"25-Mar-2025","EQ","24.30","24.52","22.75","24.21","22.90","22.93","23.35","48.60","15.85","13,62,321","3,18,09,115.86","4,940"
"24-Mar-2025","EQ","23.90","24.50","23.70","23.51","24.37","24.21","24.12","48.60","15.85","15,40,575","3,71,52,835.36","5,243"
"21-Mar-2025","EQ","23.15","23.88","22.81","23.00","23.59","23.51","23.46","48.60","15.85","11,83,498","2,77,65,758.69","7,292"
"20-Mar-2025","EQ","22.97","23.75","22.91","22.56","23.03","23.00","23.23","48.60","15.85","14,05,008","3,26,38,698.96","7,316"
"19-Mar-2025","EQ","22.00","22.79","21.85","21.79","22.79","22.56","22.26","48.60","15.85","25,29,389","5,63,07,189.42","6,548"
"18-Mar-2025","EQ","22.28","22.58","21.50","21.95","21.99","21.79","21.98","48.60","15.85","17,86,483","3,92,65,462.18","6,262"
"17-Mar-2025","EQ","22.89","23.09","21.70","22.52","22.05","21.95","22.24","48.60","15.85","13,79,387","3,06,77,864.50","5,549"
"13-Mar-2025","EQ","23.90","24.00","22.30","23.71","22.67","22.52","22.96","48.60","15.25","16,09,161","3,69,42,504.18","8,486"
"12-Mar-2025","EQ","24.21","24.65","23.51","24.17","23.70","23.71","23.94","48.60","15.25","5,07,414","1,21,45,490.02","2,603"
