"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","1,625.00","1,639.90","1,600.50","1,592.55","1,627.00","1,629.80","1,622.73","1,970.00","1,541.70","9,97,584","1,61,88,14,311.65","53,517"
"09-Apr-2025","EQ","1,592.15","1,605.75","1,582.55","1,592.15","1,591.90","1,592.55","1,594.23","1,970.00","1,541.70","2,69,169","42,91,16,894.75","32,337"
"08-Apr-2025","EQ","1,592.00","1,605.70","1,581.10","1,583.20","1,590.00","1,592.15","1,593.82","1,970.00","1,541.70","3,74,427","59,67,68,765.00","45,725"
"07-Apr-2025","EQ","1,567.55","1,590.00","1,541.70","1,639.00","1,589.00","1,583.20","1,571.30","1,970.00","1,541.70","13,66,060","2,14,64,96,780.85","74,105"
"04-Apr-2025","EQ","1,658.95","1,670.95","1,625.00","1,652.40","1,636.00","1,639.00","1,649.90","1,970.00","1,551.30","6,99,970","1,15,48,80,839.90","33,744"
"03-Apr-2025","EQ","1,664.55","1,669.80","1,639.05","1,680.40","1,647.00","1,652.40","1,650.88","1,970.00","1,551.30","8,93,654","1,47,53,12,049.60","57,315"
"02-Apr-2025","EQ","1,720.00","1,722.35","1,666.15","1,703.25","1,682.00","1,680.40","1,684.53","1,970.00","1,551.30","6,49,728","1,09,44,85,447.65","41,571"
"01-Apr-2025","EQ","1,706.80","1,733.55","1,700.05","1,707.65","1,703.10","1,703.25","1,711.71","1,970.00","1,551.30","5,27,047","90,21,49,269.80","35,435"
"28-Mar-2025","EQ","1,735.00","1,749.90","1,701.00","1,758.15","1,705.90","1,707.65","1,717.86","1,970.00","1,551.30","6,93,170","1,19,07,68,477.50","52,760"
"27-Mar-2025","EQ","1,691.00","1,819.00","1,680.05","1,708.70","1,735.25","1,758.15","1,746.94","1,970.00","1,551.30","32,41,595","5,66,28,75,088.25","99,815"
"26-Mar-2025","EQ","1,748.00","1,761.00","1,686.70","1,740.55","1,711.20","1,708.70","1,710.63","1,970.00","1,551.30","10,19,723","1,74,43,72,943.85","85,041"
"25-Mar-2025","EQ","1,770.25","1,771.00","1,708.00","1,759.00","1,733.00","1,740.55","1,733.30","1,970.00","1,551.30","5,31,717","92,16,24,809.75","40,262"
"24-Mar-2025","EQ","1,701.60","1,765.70","1,700.00","1,697.60","1,751.00","1,759.00","1,738.97","1,970.00","1,551.30","10,76,346","1,87,17,34,784.00","58,805"
"21-Mar-2025","EQ","1,630.55","1,708.40","1,625.90","1,630.55","1,695.00","1,697.60","1,663.94","1,970.00","1,551.30","18,94,623","3,15,25,36,645.25","65,932"
"20-Mar-2025","EQ","1,648.00","1,653.95","1,605.15","1,615.30","1,628.55","1,630.55","1,625.69","1,970.00","1,551.30","11,80,718","1,91,94,77,801.05","47,921"
"19-Mar-2025","EQ","1,585.00","1,626.40","1,585.00","1,580.15","1,615.05","1,615.30","1,610.92","1,970.00","1,551.30","8,60,058","1,38,54,87,113.00","46,672"
"18-Mar-2025","EQ","1,600.45","1,607.25","1,551.30","1,598.35","1,582.10","1,580.15","1,568.31","1,970.00","1,551.30","21,89,270","3,43,34,63,789.55","1,13,354"
"17-Mar-2025","EQ","1,644.95","1,649.70","1,592.00","1,644.45","1,593.00","1,598.35","1,607.11","1,970.00","1,592.00","9,44,372","1,51,77,07,903.65","87,899"
"13-Mar-2025","EQ","1,654.00","1,676.40","1,637.00","1,653.45","1,639.70","1,644.45","1,657.89","1,970.00","1,610.65","7,38,740","1,22,47,53,313.65","35,680"
"12-Mar-2025","EQ","1,678.95","1,684.60","1,642.60","1,663.00","1,655.00","1,653.45","1,655.20","1,970.00","1,610.65","3,40,034","56,28,25,545.45","26,000"
