"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","610.00","612.80","591.00","582.90","596.00","595.05","600.68","1,179.00","535.75","2,10,55,814","12,64,77,85,093.45","3,29,700"
"09-Apr-2025","EQ","588.00","594.90","581.05","588.85","584.50","582.90","587.49","1,179.00","535.75","1,74,83,412","10,27,12,59,845.30","2,50,692"
"08-Apr-2025","EQ","591.20","606.60","584.20","579.75","589.90","588.85","591.36","1,179.00","535.75","2,09,87,855","12,41,14,69,508.00","3,48,681"
"07-Apr-2025","EQ","560.50","582.00","535.75","613.85","581.10","579.75","563.16","1,179.00","535.75","4,94,63,598","27,85,59,84,564.10","8,35,816"
"04-Apr-2025","EQ","650.00","650.00","610.00","653.95","615.10","613.85","619.96","1,179.00","606.30","2,66,21,179","16,50,41,36,462.55","5,91,360"
"03-Apr-2025","EQ","660.00","669.00","652.50","671.90","655.55","653.95","659.08","1,179.00","606.30","1,34,73,832","8,88,03,57,349.10","2,95,801"
"02-Apr-2025","EQ","674.95","675.35","662.10","671.85","672.20","671.90","669.75","1,179.00","606.30","80,25,225","5,37,48,77,123.65","1,34,666"
"01-Apr-2025","EQ","670.55","681.85","665.75","674.45","672.00","671.85","673.59","1,179.00","606.30","95,94,669","6,46,29,04,983.25","2,05,820"
"28-Mar-2025","EQ","671.85","684.95","669.30","668.55","673.25","674.45","675.72","1,179.00","606.30","1,60,13,687","10,82,07,26,221.00","2,23,287"
"27-Mar-2025","EQ","668.00","676.60","661.10","708.25","669.50","668.55","669.35","1,179.00","606.30","3,42,38,666","22,91,75,66,817.20","6,78,323"
"26-Mar-2025","EQ","710.30","717.85","707.00","710.30","707.40","708.25","711.37","1,179.00","606.30","93,63,180","6,66,07,01,025.15","1,62,046"
"25-Mar-2025","EQ","719.00","723.05","706.35","713.50","707.50","710.30","714.13","1,179.00","606.30","1,36,17,465","9,72,46,34,714.55","2,76,282"
"24-Mar-2025","EQ","710.00","717.50","702.05","702.95","713.90","713.50","710.33","1,179.00","606.30","1,16,71,359","8,29,05,46,939.85","2,34,530"
"21-Mar-2025","EQ","693.00","705.00","688.55","690.05","702.50","702.95","699.90","1,179.00","606.30","1,48,23,483","10,37,49,32,720.55","1,78,336"
"20-Mar-2025","EQ","685.00","692.70","679.00","682.25","689.50","690.05","686.79","1,179.00","606.30","97,12,600","6,67,04,91,465.70","1,66,825"
"19-Mar-2025","EQ","685.40","685.75","678.55","680.05","681.05","682.25","681.69","1,179.00","606.30","93,38,414","6,36,58,82,253.00","1,81,525"
"18-Mar-2025","EQ","665.00","681.70","663.90","661.05","678.80","680.05","674.98","1,179.00","606.30","1,12,36,084","7,58,40,98,238.35","2,01,406"
"17-Mar-2025","EQ","665.05","666.45","657.45","655.50","660.10","661.05","661.92","1,179.00","606.30","91,74,408","6,07,27,11,007.95","1,80,213"
"13-Mar-2025","EQ","670.65","671.85","649.60","668.30","654.70","655.50","658.17","1,179.00","606.30","1,40,04,345","9,21,72,99,961.95","2,08,418"
"12-Mar-2025","EQ","654.50","671.90","652.25","648.05","668.15","668.30","665.67","1,179.00","606.30","1,87,32,785","12,46,99,05,999.05","2,93,574"
