"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","2,511.65","2,530.00","2,496.05","2,475.25","2,516.10","2,513.30","2,513.37","2,958.00","1,873.00","9,12,929","2,29,45,27,812.90","62,423"
"09-Apr-2025","EQ","2,450.00","2,488.70","2,417.10","2,437.65","2,473.60","2,475.25","2,463.79","2,958.00","1,873.00","8,98,839","2,21,45,48,802.40","54,549"
"08-Apr-2025","EQ","2,395.05","2,449.00","2,360.50","2,368.15","2,436.95","2,437.65","2,416.99","2,958.00","1,873.00","6,92,612","1,67,40,36,027.20","70,174"
"07-Apr-2025","EQ","2,245.25","2,394.90","2,221.10","2,464.95","2,382.10","2,368.15","2,353.32","2,958.00","1,873.00","10,50,483","2,47,21,19,248.40","97,463"
"04-Apr-2025","EQ","2,473.05","2,550.95","2,450.40","2,476.05","2,467.55","2,464.95","2,469.99","2,958.00","1,873.00","5,67,198","1,40,09,71,912.80","67,383"
"03-Apr-2025","EQ","2,470.00","2,501.00","2,441.25","2,496.10","2,474.65","2,476.05","2,472.40","2,958.00","1,873.00","5,29,522","1,30,91,92,274.20","36,536"
"02-Apr-2025","EQ","2,450.00","2,518.45","2,443.55","2,440.85","2,496.20","2,496.10","2,492.37","2,958.00","1,873.00","8,32,671","2,07,53,27,550.10","62,949"
"01-Apr-2025","EQ","2,425.00","2,459.20","2,392.90","2,419.85","2,449.45","2,440.85","2,432.87","2,958.00","1,873.00","4,63,333","1,12,72,26,758.85","46,256"
"28-Mar-2025","EQ","2,463.00","2,468.00","2,401.50","2,455.65","2,415.05","2,419.85","2,432.50","2,958.00","1,873.00","5,82,409","1,41,67,10,227.45","40,318"
"27-Mar-2025","EQ","2,411.95","2,460.95","2,370.00","2,429.20","2,450.55","2,455.65","2,444.16","2,958.00","1,873.00","6,36,174","1,55,49,12,709.05","41,884"
"26-Mar-2025","EQ","2,415.00","2,450.00","2,407.00","2,421.50","2,424.00","2,429.20","2,425.45","2,958.00","1,873.00","5,12,282","1,24,25,15,456.70","45,371"
"25-Mar-2025","EQ","2,464.00","2,464.00","2,410.00","2,444.70","2,432.00","2,421.50","2,435.17","2,958.00","1,873.00","7,67,700","1,86,94,78,709.60","87,130"
"24-Mar-2025","EQ","2,434.00","2,457.75","2,395.05","2,413.85","2,444.00","2,444.70","2,432.03","2,958.00","1,873.00","7,03,461","1,71,08,38,926.45","62,729"
"21-Mar-2025","EQ","2,355.85","2,450.00","2,350.05","2,346.80","2,423.15","2,413.85","2,416.24","2,958.00","1,873.00","18,71,573","4,52,21,71,508.95","1,18,920"
"20-Mar-2025","EQ","2,348.15","2,353.05","2,308.50","2,319.75","2,343.00","2,346.80","2,341.95","2,958.00","1,873.00","5,97,377","1,39,90,26,320.15","61,602"
"19-Mar-2025","EQ","2,324.00","2,342.50","2,303.70","2,311.75","2,315.50","2,319.75","2,325.72","2,958.00","1,873.00","6,10,676","1,42,02,63,905.20","57,613"
"18-Mar-2025","EQ","2,279.00","2,334.50","2,263.55","2,266.80","2,318.00","2,311.75","2,300.96","2,958.00","1,873.00","8,58,952","1,97,64,16,473.30","77,179"
"17-Mar-2025","EQ","2,258.55","2,313.45","2,256.05","2,250.90","2,266.00","2,266.80","2,281.17","2,958.00","1,873.00","5,82,066","1,32,77,90,114.35","58,624"
"13-Mar-2025","EQ","2,255.05","2,287.95","2,246.05","2,259.00","2,254.40","2,250.90","2,262.40","2,958.00","1,873.00","4,13,139","93,46,86,986.10","35,924"
"12-Mar-2025","EQ","2,291.00","2,299.95","2,242.20","2,288.85","2,255.50","2,259.00","2,257.65","2,958.00","1,873.00","5,19,721","1,17,33,46,956.35","41,666"
