"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","69.50","71.59","69.01","67.87","70.63","70.35","70.29","147.85","62.92","95,007","66,77,588.31","1,599"
"09-Apr-2025","EQ","69.99","69.99","67.25","69.13","67.97","67.87","67.97","147.85","62.92","56,233","38,21,972.14","1,496"
"08-Apr-2025","EQ","69.00","70.45","67.52","66.69","69.27","69.13","68.98","147.85","62.92","1,03,538","71,42,449.04","2,435"
"07-Apr-2025","EQ","68.90","69.29","62.92","70.42","68.00","66.69","66.22","147.85","62.92","3,03,524","2,00,97,893.11","5,834"
"04-Apr-2025","EQ","75.20","75.21","69.32","74.91","71.00","70.42","71.34","147.85","68.28","2,65,098","1,89,10,947.98","3,560"
"03-Apr-2025","EQ","73.00","75.76","72.50","73.03","75.25","74.91","74.32","147.85","68.28","1,40,623","1,04,51,760.83","2,356"
"02-Apr-2025","EQ","75.20","75.30","72.00","74.10","73.01","73.03","73.21","147.85","68.28","1,11,957","81,96,218.36","2,050"
"01-Apr-2025","EQ","71.90","75.19","70.83","70.83","73.50","74.10","73.63","147.85","68.28","1,58,545","1,16,73,819.18","2,877"
"28-Mar-2025","EQ","72.45","74.48","70.01","72.07","71.20","70.83","72.71","147.85","68.28","2,24,301","1,63,07,847.28","3,409"
"27-Mar-2025","EQ","70.05","74.10","68.43","70.31","72.20","72.07","70.39","147.85","68.28","5,37,135","3,78,09,104.99","7,504"
"26-Mar-2025","EQ","73.00","73.30","70.05","72.70","70.37","70.31","71.18","147.85","68.28","2,70,330","1,92,42,707.14","3,721"
"25-Mar-2025","EQ","75.85","77.89","72.41","75.20","72.87","72.70","74.12","147.85","68.28","3,00,259","2,22,55,961.58","3,895"
"24-Mar-2025","EQ","76.01","78.17","74.64","75.17","75.49","75.20","76.14","147.85","68.28","3,38,496","2,57,72,996.23","4,069"
"21-Mar-2025","EQ","75.70","77.34","74.34","75.12","75.30","75.17","75.70","147.85","68.28","2,40,682","1,82,20,475.98","3,782"
"20-Mar-2025","EQ","75.90","78.47","74.77","75.35","75.30","75.12","76.07","147.85","68.28","2,06,556","1,57,12,631.03","5,481"
"19-Mar-2025","EQ","73.95","77.00","73.95","73.81","75.80","75.35","75.83","147.85","68.28","1,59,142","1,20,67,664.32","3,009"
"18-Mar-2025","EQ","70.01","75.93","70.01","70.08","73.82","73.81","74.20","147.85","68.28","2,35,162","1,74,49,404.73","4,287"
"17-Mar-2025","EQ","73.70","74.20","69.25","73.54","69.89","70.08","71.81","147.85","68.28","1,66,787","1,19,76,688.96","2,645"
"13-Mar-2025","EQ","75.83","76.28","73.10","75.47","73.50","73.54","74.84","147.85","68.28","2,64,528","1,97,96,033.32","2,347"
"12-Mar-2025","EQ","77.06","78.75","74.51","77.41","75.00","75.47","76.50","147.85","68.28","90,161","68,97,469.50","1,819"
