"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","1,680.05","1,697.10","1,599.95","1,653.30","1,623.35","1,625.15","1,639.66","2,390.05","1,140.30","26,185","4,29,34,520.75","5,981"
"09-Apr-2025","EQ","1,600.00","1,707.95","1,577.05","1,607.95","1,641.50","1,653.30","1,647.44","2,390.05","1,140.30","23,168","3,81,67,787.30","5,156"
"08-Apr-2025","EQ","1,605.00","1,628.00","1,538.00","1,508.15","1,602.30","1,607.95","1,584.10","2,390.05","1,140.30","23,084","3,65,67,472.45","3,978"
"07-Apr-2025","EQ","1,433.95","1,582.75","1,368.60","1,569.15","1,501.00","1,508.15","1,500.25","2,390.05","1,140.30","35,387","5,30,89,393.30","8,232"
"04-Apr-2025","EQ","1,655.00","1,671.95","1,552.50","1,662.55","1,595.00","1,569.15","1,597.97","2,390.05","1,140.30","17,788","2,84,24,679.80","4,100"
"03-Apr-2025","EQ","1,630.00","1,687.55","1,625.00","1,656.35","1,669.00","1,662.55","1,665.79","2,390.05","1,140.30","11,025","1,83,65,367.70","2,944"
"02-Apr-2025","EQ","1,625.05","1,690.00","1,607.30","1,632.90","1,640.00","1,656.35","1,658.60","2,390.05","1,140.30","33,083","5,48,71,397.45","4,692"
"01-Apr-2025","EQ","1,585.05","1,650.00","1,584.95","1,594.75","1,622.60","1,632.90","1,632.98","2,390.05","1,140.30","15,945","2,60,37,862.75","3,214"
"28-Mar-2025","EQ","1,640.00","1,650.00","1,570.00","1,593.85","1,588.00","1,594.75","1,607.32","2,390.05","1,140.30","21,870","3,51,52,070.10","4,149"
"27-Mar-2025","EQ","1,580.00","1,700.10","1,575.05","1,615.30","1,617.10","1,593.85","1,629.76","2,390.05","1,140.30","22,275","3,63,02,947.90","2,474"
"26-Mar-2025","EQ","1,600.00","1,680.95","1,542.45","1,616.65","1,645.00","1,615.30","1,614.91","2,390.05","1,140.30","24,745","3,99,60,963.25","2,903"
"25-Mar-2025","EQ","1,625.00","1,725.00","1,598.15","1,636.60","1,601.00","1,616.65","1,657.66","2,390.05","1,140.30","40,001","6,63,08,164.80","4,491"
"24-Mar-2025","EQ","1,486.95","1,699.00","1,486.95","1,482.90","1,625.10","1,636.60","1,597.58","2,390.05","1,140.30","68,551","10,95,15,729.65","6,468"
"21-Mar-2025","EQ","1,488.00","1,524.90","1,450.00","1,486.20","1,478.00","1,482.90","1,482.64","2,390.05","1,140.30","31,397","4,65,50,402.10","2,794"
"20-Mar-2025","EQ","1,467.00","1,515.00","1,442.55","1,450.00","1,461.00","1,486.20","1,474.42","2,390.05","1,140.30","42,200","6,22,20,565.65","3,602"
"19-Mar-2025","EQ","1,470.05","1,524.75","1,432.00","1,548.10","1,444.80","1,450.00","1,470.68","2,390.05","1,140.30","1,78,767","26,29,09,738.85","10,295"
"18-Mar-2025","EQ","1,340.00","1,598.00","1,340.00","1,341.80","1,570.00","1,548.10","1,527.70","2,390.05","1,140.30","1,88,317","28,76,91,500.65","17,876"
"17-Mar-2025","EQ","1,284.00","1,358.00","1,275.00","1,282.55","1,350.00","1,341.80","1,317.21","2,390.05","1,140.30","45,692","6,01,85,809.75","5,220"
"13-Mar-2025","EQ","1,279.00","1,315.00","1,243.40","1,279.05","1,266.10","1,282.55","1,281.03","2,390.05","1,140.30","80,719","10,34,03,212.40","3,397"
"12-Mar-2025","EQ","1,232.10","1,295.00","1,232.00","1,250.85","1,265.00","1,279.05","1,272.58","2,390.05","1,140.30","40,516","5,15,59,678.05","4,569"
