"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","1,179.70","1,185.70","1,136.70","1,149.10","1,144.45","1,144.20","1,155.84","2,184.95","1,084.05","3,99,166","46,13,73,789.30","30,075"
"09-Apr-2025","EQ","1,165.30","1,167.00","1,123.00","1,153.30","1,147.70","1,149.10","1,144.60","2,184.95","1,084.05","3,47,217","39,74,23,377.50","26,477"
"08-Apr-2025","EQ","1,160.00","1,182.60","1,140.50","1,121.20","1,159.00","1,153.30","1,160.92","2,184.95","1,084.05","6,54,562","75,98,94,670.95","45,549"
"07-Apr-2025","EQ","1,095.00","1,133.00","1,084.05","1,158.75","1,131.00","1,121.20","1,102.46","2,184.95","1,084.05","11,81,080","1,30,20,94,460.70","43,819"
"04-Apr-2025","EQ","1,210.00","1,216.25","1,148.15","1,216.25","1,169.00","1,158.75","1,172.42","2,190.00","1,148.15","4,91,666","57,64,39,549.05","38,906"
"03-Apr-2025","EQ","1,244.85","1,244.85","1,202.30","1,250.35","1,219.85","1,216.25","1,216.51","2,190.00","1,185.00","6,46,568","78,65,54,967.55","42,718"
"02-Apr-2025","EQ","1,235.25","1,257.05","1,216.10","1,235.15","1,255.05","1,250.35","1,237.17","2,190.00","1,185.00","7,15,265","88,49,02,252.55","54,931"
"01-Apr-2025","EQ","1,264.90","1,276.85","1,230.00","1,264.90","1,230.00","1,235.15","1,257.58","2,190.00","1,185.00","8,55,696","1,07,61,03,001.30","32,030"
"28-Mar-2025","EQ","1,285.00","1,311.45","1,259.45","1,280.75","1,260.95","1,264.90","1,280.52","2,190.00","1,185.00","3,60,331","46,14,11,779.95","29,833"
"27-Mar-2025","EQ","1,275.75","1,291.00","1,260.30","1,279.75","1,281.95","1,280.75","1,279.06","2,190.00","1,185.00","6,68,755","85,53,79,698.45","36,344"
"26-Mar-2025","EQ","1,304.90","1,308.60","1,271.50","1,301.45","1,271.70","1,279.75","1,293.24","2,190.00","1,185.00","2,86,536","37,05,58,971.20","24,810"
"25-Mar-2025","EQ","1,338.00","1,339.90","1,285.30","1,321.00","1,298.00","1,301.45","1,308.10","2,190.00","1,185.00","3,37,887","44,19,89,128.05","34,474"
"24-Mar-2025","EQ","1,321.10","1,341.80","1,313.00","1,316.75","1,320.50","1,321.00","1,324.63","2,190.00","1,185.00","3,94,487","52,25,47,445.80","37,320"
"21-Mar-2025","EQ","1,270.50","1,345.50","1,268.00","1,283.25","1,323.55","1,316.75","1,319.93","2,190.00","1,185.00","5,88,923","77,73,38,946.95","45,922"
"20-Mar-2025","EQ","1,262.00","1,299.95","1,260.00","1,253.75","1,280.00","1,283.25","1,280.10","2,190.00","1,185.00","4,53,526","58,05,56,912.65","38,713"
"19-Mar-2025","EQ","1,230.95","1,264.10","1,201.00","1,224.15","1,255.50","1,253.75","1,236.01","2,190.00","1,185.00","4,26,337","52,69,54,795.00","31,337"
"18-Mar-2025","EQ","1,212.00","1,240.00","1,205.35","1,203.35","1,229.90","1,224.15","1,225.40","2,190.00","1,185.00","3,12,422","38,28,40,470.50","21,267"
"17-Mar-2025","EQ","1,200.00","1,221.25","1,185.00","1,192.35","1,204.05","1,203.35","1,207.87","2,190.00","1,185.00","5,25,665","63,49,33,806.40","33,611"
"13-Mar-2025","EQ","1,209.75","1,216.00","1,190.15","1,211.80","1,191.55","1,192.35","1,202.57","2,190.00","1,188.50","2,38,536","28,68,55,181.75","22,417"
"12-Mar-2025","EQ","1,246.95","1,250.00","1,188.50","1,243.75","1,210.00","1,211.80","1,208.02","2,190.00","1,188.50","4,71,488","56,95,65,005.50","33,692"
