"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","884.05","923.00","871.10","851.40","920.00","917.80","907.60","4,050.00","337.00","29,10,192","2,64,12,98,550.55","98,037"
"09-Apr-2025","EQ","864.85","864.85","840.05","865.00","853.90","851.40","849.90","4,050.00","337.00","7,43,755","63,21,18,848.75","32,871"
"08-Apr-2025","EQ","850.55","884.65","841.05","813.00","865.60","865.00","866.18","4,050.00","337.00","40,40,923","3,50,01,77,231.30","1,58,812"
"07-Apr-2025","EQ","714.70","830.05","714.70","871.65","812.00","813.00","808.09","4,050.00","337.00","22,77,450","1,84,03,76,286.40","1,01,319"
"04-Apr-2025","EQ","938.00","941.95","836.30","936.90","877.00","871.65","880.40","4,050.00","337.00","24,56,393","2,16,26,08,148.45","94,265"
"03-Apr-2025","EQ","899.90","959.00","899.90","916.60","940.00","936.90","932.08","4,050.00","337.00","19,90,292","1,85,51,16,639.40","67,785"
"02-Apr-2025","EQ","901.70","919.70","885.55","901.60","917.00","916.60","905.07","4,050.00","337.00","7,46,679","67,57,95,942.05","38,723"
"01-Apr-2025","EQ","915.95","959.90","896.00","916.60","902.80","901.60","921.17","4,050.00","337.00","11,57,659","1,06,63,98,926.00","74,424"
"28-Mar-2025","EQ","950.00","973.00","907.65","927.05","910.00","916.60","942.84","4,050.00","337.00","17,18,645","1,62,04,01,190.50","77,751"
"27-Mar-2025","EQ","870.15","990.00","857.30","870.15","929.00","927.05","906.33","4,050.00","337.00","35,63,220","3,22,94,53,744.80","1,00,210"
"26-Mar-2025","EQ","885.00","921.45","865.00","883.75","869.80","870.15","894.92","4,050.00","337.00","13,04,628","1,16,75,32,614.55","48,378"
"25-Mar-2025","EQ","945.35","949.80","875.25","945.00","881.00","883.75","900.39","4,050.00","337.00","15,23,007","1,37,13,04,986.40","72,611"
"24-Mar-2025","EQ","942.70","962.00","935.30","946.20","940.00","945.00","948.26","4,050.00","337.00","11,54,718","1,09,49,78,598.15","41,661"
"21-Mar-2025","EQ","925.00","952.00","917.05","915.25","925.00","946.20","941.61","4,050.00","337.00","38,88,481","3,66,14,33,278.40","99,706"
"20-Mar-2025","EQ","900.00","933.00","887.20","893.15","916.20","915.25","915.01","4,050.00","337.00","19,69,330","1,80,19,59,811.50","92,639"
"19-Mar-2025","EQ","898.00","901.95","875.00","888.35","893.00","893.15","892.40","4,050.00","337.00","8,68,783","77,53,00,932.10","46,720"
"18-Mar-2025","EQ","840.50","890.95","840.50","835.30","888.35","888.35","875.05","4,050.00","337.00","11,99,535","1,04,96,47,616.55","62,178"
"17-Mar-2025","EQ","830.00","843.50","815.15","835.00","836.00","835.30","832.72","4,050.00","337.00","7,18,509","59,83,13,416.25","52,583"
"13-Mar-2025","EQ","858.70","863.90","827.40","854.50","831.50","835.00","842.12","4,050.00","337.00","11,75,099","98,95,78,399.00","55,430"
"12-Mar-2025","EQ","895.00","904.00","845.00","892.45","857.50","854.50","864.84","4,050.00","337.00","9,91,955","85,78,81,813.40","55,283"
