"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","SM","47.00","47.00","45.50","46.00","45.50","45.50","46.50","210.15","37.55","10,000","4,65,000.00","5"
"09-Apr-2025","SM","43.55","46.00","43.55","45.00","46.00","46.00","45.15","210.15","37.55","6,000","2,70,900.00","3"
"08-Apr-2025","SM","46.00","46.00","44.60","46.05","45.00","45.00","45.75","210.15","37.55","30,000","13,72,400.00","10"
"04-Apr-2025","SM","45.70","47.45","45.55","47.75","46.00","46.05","45.97","210.15","37.55","16,000","7,35,500.00","8"
"03-Apr-2025","SM","45.50","47.75","44.15","45.50","47.75","47.75","47.28","210.15","37.55","48,000","22,69,300.00","12"
"02-Apr-2025","SM","44.00","45.50","44.00","43.45","45.50","45.50","44.98","210.15","37.55","6,000","2,69,900.00","3"
"01-Apr-2025","SM","43.75","43.75","43.00","41.75","43.45","43.45","43.41","210.15","37.55","16,000","6,94,500.00","8"
"28-Mar-2025","SM","43.50","43.50","41.35","43.50","41.75","41.75","42.43","210.15","37.55","24,000","10,18,300.00","11"
"27-Mar-2025","SM","45.50","45.50","43.10","45.35","43.50","43.50","43.66","210.15","37.55","18,000","7,85,800.00","9"
"26-Mar-2025","SM","46.00","47.00","45.05","46.50","45.50","45.35","45.60","210.15","37.55","24,000","10,94,300.00","12"
"25-Mar-2025","SM","46.15","47.25","46.05","46.35","46.50","46.50","46.39","210.15","37.55","14,000","6,49,400.00","6"
"24-Mar-2025","SM","46.90","47.25","45.50","45.00","47.25","46.35","46.78","210.15","37.55","64,000","29,94,000.00","23"
"21-Mar-2025","SM","43.90","45.00","43.50","43.90","45.00","45.00","43.85","210.15","37.55","22,000","9,64,600.00","6"
"20-Mar-2025","SM","42.00","43.90","41.85","41.85","43.90","43.90","42.77","210.15","37.55","16,000","6,84,300.00","8"
"19-Mar-2025","SM","41.85","41.85","41.85","39.90","41.85","41.85","41.85","210.15","37.55","10,000","4,18,500.00","5"
"18-Mar-2025","SM","39.05","39.95","37.55","39.05","39.90","39.90","38.72","210.15","37.55","36,000","13,93,800.00","15"
"17-Mar-2025","SM","39.25","39.25","38.05","40.05","39.25","39.05","38.91","210.15","38.05","60,000","23,34,700.00","17"
"13-Mar-2025","SM","40.75","40.75","39.20","40.70","40.50","40.05","39.83","210.15","39.20","26,000","10,35,500.00","12"
"12-Mar-2025","SM","42.80","42.80","40.70","42.85","40.70","40.70","41.64","210.15","40.70","18,000","7,49,600.00","9"
