"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","8,825.05","8,973.50","8,810.70","8,735.80","8,912.00","8,921.10","8,914.28","9,260.05","6,375.70","10,09,722","9,00,09,39,833.10","1,07,731"
"09-Apr-2025","EQ","8,815.00","8,842.00","8,625.00","8,822.25","8,745.00","8,735.80","8,722.67","9,260.05","6,375.70","10,48,774","9,14,81,05,326.60","1,38,514"
"08-Apr-2025","EQ","8,650.00","8,873.00","8,650.00","8,568.00","8,825.05","8,822.25","8,790.59","9,260.05","6,375.70","14,77,563","12,98,86,51,758.25","1,40,461"
"07-Apr-2025","EQ","8,340.00","8,600.50","8,307.15","8,718.85","8,590.10","8,568.00","8,451.39","9,260.05","6,375.70","13,98,124","11,81,60,96,363.45","1,59,133"
"04-Apr-2025","EQ","8,656.00","8,797.00","8,583.80","8,594.60","8,739.90","8,718.85","8,709.85","9,260.05","6,375.70","18,49,658","16,11,02,51,144.45","1,55,607"
"03-Apr-2025","EQ","8,650.00","8,765.00","8,460.20","8,669.25","8,570.00","8,594.60","8,597.51","9,260.05","6,375.70","13,96,633","12,00,75,59,992.75","1,48,865"
"02-Apr-2025","EQ","8,730.00","8,759.85","8,612.00","8,698.20","8,630.00","8,669.25","8,683.17","9,260.05","6,375.70","6,46,495","5,61,36,24,153.90","73,065"
"01-Apr-2025","EQ","8,783.30","8,925.00","8,671.00","8,945.60","8,719.35","8,698.20","8,761.66","9,260.05","6,375.70","11,83,424","10,36,87,58,175.45","1,26,566"
"28-Mar-2025","EQ","8,997.60","9,028.90","8,861.00","9,003.85","8,929.90","8,945.60","8,936.02","9,260.05","6,375.70","9,77,099","8,73,13,79,557.85","96,063"
"27-Mar-2025","EQ","8,861.00","9,055.40","8,822.25","8,866.05","9,004.70","9,003.85","8,982.55","9,260.05","6,375.70","20,92,044","18,79,18,87,533.70","1,30,155"
"26-Mar-2025","EQ","9,102.05","9,126.90","8,849.95","9,067.25","8,870.00","8,866.05","8,956.50","9,260.05","6,375.70","8,86,211","7,93,73,51,688.05","91,406"
"25-Mar-2025","EQ","9,125.00","9,260.05","8,977.05","9,090.05","9,040.00","9,067.25","9,099.50","9,260.05","6,375.70","17,48,260","15,90,82,85,700.90","1,68,353"
"24-Mar-2025","EQ","9,095.95","9,115.00","8,927.00","8,916.10","9,079.70","9,090.05","9,050.90","9,115.00","6,375.70","14,33,217","12,97,19,03,809.20","1,39,069"
"21-Mar-2025","EQ","9,039.95","9,089.00","8,831.00","8,679.65","8,911.10","8,916.10","8,928.93","9,089.00","6,375.70","27,44,801","24,50,81,42,273.20","1,88,335"
"20-Mar-2025","EQ","8,725.00","8,768.05","8,541.15","8,731.60","8,680.00","8,679.65","8,649.09","8,879.00","6,375.70","7,92,433","6,85,38,22,658.90","1,00,459"
"19-Mar-2025","EQ","8,700.00","8,879.00","8,682.60","8,682.50","8,693.25","8,731.60","8,784.84","8,879.00","6,375.70","12,89,820","11,33,08,61,437.60","1,23,937"
"18-Mar-2025","EQ","8,615.00","8,699.00","8,494.80","8,580.35","8,694.00","8,682.50","8,606.53","8,739.00","6,375.70","11,03,110","9,49,39,45,717.35","90,493"
"17-Mar-2025","EQ","8,399.20","8,629.95","8,386.00","8,420.45","8,580.00","8,580.35","8,566.96","8,739.00","6,375.70","11,02,085","9,44,15,19,270.45","1,03,206"
"13-Mar-2025","EQ","8,500.00","8,560.00","8,393.00","8,484.45","8,415.00","8,420.45","8,471.30","8,739.00","6,297.80","12,17,351","10,31,25,44,763.65","1,08,914"
"12-Mar-2025","EQ","8,341.10","8,524.50","8,272.55","8,340.45","8,515.45","8,484.45","8,393.12","8,739.00","6,297.80","20,88,223","17,52,67,06,410.45","1,00,018"
