"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","254.85","262.00","249.80","252.80","258.35","258.25","256.21","533.00","227.45","21,484","55,04,431.05","1,345"
"09-Apr-2025","EQ","246.80","259.00","244.05","249.90","259.00","252.80","247.91","533.00","227.45","14,383","35,65,679.15","1,275"
"08-Apr-2025","EQ","243.85","255.00","243.85","240.25","248.00","249.90","248.80","533.00","227.45","19,564","48,67,458.75","1,435"
"07-Apr-2025","EQ","240.00","247.60","227.45","257.95","241.60","240.25","236.62","533.00","227.45","1,01,815","2,40,91,710.75","4,411"
"04-Apr-2025","EQ","279.10","279.10","254.00","279.10","255.00","257.95","263.85","533.00","236.60","43,086","1,13,68,077.40","2,702"
"03-Apr-2025","EQ","276.95","280.00","269.85","274.30","279.00","279.10","275.37","533.00","236.60","18,964","52,22,087.80","1,106"
"02-Apr-2025","EQ","264.00","279.50","259.65","263.80","275.95","274.30","270.28","533.00","236.60","33,366","90,18,279.65","2,024"
"01-Apr-2025","EQ","253.60","274.00","251.00","257.45","264.00","263.80","265.82","533.00","236.60","39,316","1,04,51,013.15","1,848"
"28-Mar-2025","EQ","256.00","267.10","256.00","255.40","257.80","257.45","257.62","533.00","236.60","74,150","1,91,02,437.70","1,285"
"27-Mar-2025","EQ","265.80","270.50","253.50","265.80","258.00","255.40","262.37","533.00","236.60","73,037","1,91,62,359.80","2,640"
"26-Mar-2025","EQ","268.90","281.30","265.00","270.85","265.70","265.80","272.94","533.00","236.60","95,205","2,59,84,898.30","2,297"
"25-Mar-2025","EQ","269.30","278.95","260.50","268.40","271.00","270.85","267.73","533.00","236.60","70,041","1,87,52,158.45","2,905"
"24-Mar-2025","EQ","266.00","271.95","262.05","265.60","268.00","268.40","266.48","533.00","236.60","1,36,942","3,64,92,044.15","2,675"
"21-Mar-2025","EQ","252.95","271.95","252.95","250.75","264.10","265.60","266.23","533.00","236.60","70,623","1,88,02,269.95","4,439"
"20-Mar-2025","EQ","242.00","253.00","242.00","240.65","250.25","250.75","246.81","533.00","236.60","1,60,064","3,95,05,333.80","4,063"
"19-Mar-2025","EQ","242.00","248.80","238.60","241.30","238.65","240.65","243.12","533.00","236.60","40,429","98,28,964.10","1,544"
"18-Mar-2025","EQ","250.00","253.60","240.00","249.10","243.00","241.30","243.38","533.00","236.60","2,38,783","5,81,14,605.55","5,340"
"17-Mar-2025","EQ","267.20","267.35","248.45","264.25","250.00","249.10","253.38","533.00","236.60","78,338","1,98,49,173.75","1,845"
"13-Mar-2025","EQ","262.45","269.90","253.65","256.10","265.00","264.25","259.72","533.00","236.60","29,184","75,79,615.55","1,377"
"12-Mar-2025","EQ","265.45","265.45","251.95","259.00","258.15","256.10","255.74","533.00","236.60","26,639","68,12,623.40","1,401"
