"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","BE","12.49","12.58","11.99","11.99","12.58","12.19","12.31","20.14","11.00","14,188","1,74,723.94","152"
"09-Apr-2025","BE","11.55","12.30","11.52","11.76","11.99","11.99","11.84","20.14","11.00","12,956","1,53,370.38","130"
"08-Apr-2025","BE","12.00","12.64","11.60","12.09","11.72","11.76","11.96","20.14","11.00","12,488","1,49,373.09","119"
"07-Apr-2025","BE","12.73","12.73","12.09","12.73","12.09","12.09","12.12","20.14","11.00","5,356","64,891.56","99"
"04-Apr-2025","BE","13.18","13.18","12.46","12.59","12.74","12.73","12.91","20.14","11.00","6,380","82,361.08","93"
"03-Apr-2025","BE","13.07","13.07","12.05","12.46","12.22","12.59","12.59","20.14","11.00","15,252","1,91,982.33","134"
"02-Apr-2025","BE","12.53","12.53","11.56","11.95","12.03","12.46","11.97","20.14","11.00","25,960","3,10,660.77","104"
"01-Apr-2025","BE","12.00","12.06","11.06","11.50","12.00","11.95","11.88","20.14","11.00","7,111","84,447.33","129"
"28-Mar-2025","BE","11.58","12.15","11.00","11.58","11.24","11.50","11.73","20.14","11.00","32,372","3,79,729.97","142"
"27-Mar-2025","BE","12.11","12.11","11.50","12.11","11.53","11.58","11.68","20.14","11.33","23,865","2,78,640.49","123"
"26-Mar-2025","BE","12.72","12.72","12.08","12.72","12.08","12.11","12.26","20.14","11.33","21,697","2,66,024.72","145"
"25-Mar-2025","BE","13.47","13.47","12.21","12.84","12.72","12.72","12.39","20.14","11.33","11,711","1,45,154.83","107"
"24-Mar-2025","BE","12.97","12.98","12.02","12.37","12.98","12.84","12.79","20.14","11.33","18,951","2,42,345.91","165"
"21-Mar-2025","BE","12.90","12.90","12.15","12.79","12.36","12.37","12.53","20.14","11.33","13,666","1,71,185.48","147"
"20-Mar-2025","BE","12.98","13.00","12.55","12.78","12.75","12.79","12.92","20.14","11.33","8,072","1,04,325.77","106"
"19-Mar-2025","BE","12.20","13.20","12.20","12.60","12.85","12.78","12.92","20.14","11.33","17,230","2,22,565.57","118"
"18-Mar-2025","BE","12.20","13.29","12.11","12.75","12.99","12.60","12.62","20.14","11.33","17,979","2,26,963.67","109"
"17-Mar-2025","BE","12.99","13.27","12.51","12.80","13.04","12.75","12.81","20.14","11.33","49,085","6,28,827.50","165"
"13-Mar-2025","BE","12.35","12.98","11.81","12.37","12.80","12.80","12.53","20.14","11.33","9,958","1,24,725.43","109"
"12-Mar-2025","BE","13.13","13.25","12.25","12.87","12.40","12.37","12.48","20.14","11.33","15,975","1,99,297.70","148"
