"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","211.85","215.01","211.21","209.13","214.18","212.60","212.90","454.85","186.90","25,186","53,62,169.31","1,666"
"09-Apr-2025","EQ","215.60","215.60","206.80","212.89","209.97","209.13","209.54","454.85","186.90","14,810","31,03,272.76","1,531"
"08-Apr-2025","EQ","210.55","213.17","209.00","207.12","213.00","212.89","210.64","454.85","186.90","17,907","37,71,963.87","1,481"
"07-Apr-2025","EQ","198.60","208.74","195.14","214.06","205.07","207.12","201.80","454.85","186.90","51,239","1,03,39,826.77","3,158"
"04-Apr-2025","EQ","221.80","222.55","211.58","221.85","213.99","214.06","216.00","454.85","186.90","51,520","1,11,28,188.44","2,467"
"03-Apr-2025","EQ","209.71","224.38","209.70","212.07","223.80","221.85","218.90","454.85","186.90","39,336","86,10,546.94","1,939"
"02-Apr-2025","EQ","214.70","214.70","205.30","211.52","211.99","212.07","210.66","454.85","186.90","20,547","43,28,365.72","1,785"
"01-Apr-2025","EQ","204.84","214.80","203.72","203.17","211.05","211.52","210.55","454.85","186.90","31,468","66,25,431.43","1,946"
"28-Mar-2025","EQ","205.25","211.00","199.81","203.96","203.00","203.17","203.78","454.85","186.90","88,079","1,79,48,938.86","4,392"
"27-Mar-2025","EQ","204.75","209.00","202.05","204.86","202.10","203.96","205.71","454.85","186.90","68,941","1,41,81,985.15","3,456"
"26-Mar-2025","EQ","211.45","213.50","202.95","211.37","202.95","204.86","208.92","454.85","186.90","52,502","1,09,68,653.60","2,681"
"25-Mar-2025","EQ","221.00","223.29","210.25","220.05","210.25","211.37","215.30","454.85","186.90","62,968","1,35,57,259.69","3,885"
"24-Mar-2025","EQ","217.57","225.29","217.50","218.95","220.50","220.05","221.28","454.85","186.90","58,715","1,29,92,260.45","2,767"
"21-Mar-2025","EQ","210.94","221.08","210.61","210.94","215.70","218.95","217.23","454.85","186.90","78,213","1,69,90,367.86","4,233"
"20-Mar-2025","EQ","213.65","216.06","208.00","210.52","212.00","210.94","212.13","454.85","186.90","50,543","1,07,21,806.42","2,510"
"19-Mar-2025","EQ","204.00","212.00","204.00","204.22","211.50","210.52","210.25","454.85","186.90","40,448","85,04,331.93","2,076"
"18-Mar-2025","EQ","197.10","206.69","197.10","197.09","203.90","204.22","203.44","454.85","186.90","36,125","73,49,393.58","2,293"
"17-Mar-2025","EQ","200.05","204.59","196.00","202.00","196.00","197.09","199.61","454.85","186.90","64,696","1,29,13,854.46","2,469"
"13-Mar-2025","EQ","203.40","204.78","196.00","202.88","203.50","202.00","201.01","454.85","186.90","28,191","56,66,684.00","2,233"
"12-Mar-2025","EQ","204.25","208.00","201.05","206.14","203.50","202.88","203.12","454.85","186.90","17,531","35,60,916.51","1,908"
