"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","466.60","472.75","459.35","448.75","469.50","468.80","466.56","624.40","243.00","1,78,046","8,30,68,697.90","12,824"
"09-Apr-2025","EQ","468.90","472.95","446.00","478.45","449.00","448.75","452.98","624.40","243.00","2,49,601","11,30,63,804.25","14,787"
"08-Apr-2025","EQ","440.80","498.25","440.80","428.30","477.00","478.45","472.82","624.40","243.00","9,36,122","44,26,15,640.55","59,548"
"07-Apr-2025","EQ","381.00","440.00","381.00","468.35","434.00","428.30","424.77","624.40","243.00","3,50,664","14,89,52,618.50","21,155"
"04-Apr-2025","EQ","500.00","503.85","461.35","498.10","469.50","468.35","474.72","624.40","243.00","2,22,187","10,54,77,172.20","16,968"
"03-Apr-2025","EQ","503.90","509.95","495.00","504.00","501.25","498.10","502.64","624.40","243.00","79,552","3,99,85,691.00","7,774"
"02-Apr-2025","EQ","492.90","508.00","481.05","492.10","503.85","504.00","502.64","624.40","243.00","1,75,049","8,79,85,910.20","9,083"
"01-Apr-2025","EQ","492.15","500.65","486.15","501.15","492.00","492.10","493.57","624.40","243.00","68,509","3,38,13,744.15","6,132"
"28-Mar-2025","EQ","502.05","509.40","491.10","498.10","500.00","501.15","502.57","624.40","243.00","1,15,181","5,78,86,561.95","9,552"
"27-Mar-2025","EQ","488.25","501.95","482.55","488.25","495.50","498.10","493.51","624.40","243.00","1,08,305","5,34,49,459.05","10,392"
"26-Mar-2025","EQ","491.45","501.10","486.70","491.45","493.30","488.25","494.29","624.40","243.00","87,514","4,32,57,664.45","7,695"
"25-Mar-2025","EQ","516.00","516.35","487.20","511.75","493.00","491.45","496.46","624.40","243.00","1,47,047","7,30,02,472.60","11,990"
"24-Mar-2025","EQ","504.95","517.05","497.75","500.20","512.00","511.75","509.64","624.40","243.00","1,74,025","8,86,89,531.55","12,389"
"21-Mar-2025","EQ","493.35","504.90","491.50","494.65","500.70","500.20","499.99","624.40","243.00","1,83,651","9,18,23,376.75","12,946"
"20-Mar-2025","EQ","493.10","497.00","483.05","488.25","490.25","494.65","491.56","624.40","243.00","1,45,225","7,13,86,647.70","11,715"
"19-Mar-2025","EQ","473.95","495.00","473.45","474.35","493.00","488.25","484.80","624.40","243.00","2,11,514","10,25,43,020.60","6,049"
"18-Mar-2025","EQ","449.90","475.85","447.15","446.15","475.00","474.35","469.06","624.40","243.00","1,80,172","8,45,11,356.05","6,001"
"17-Mar-2025","EQ","453.00","456.75","445.45","450.60","446.05","446.15","449.26","624.40","243.00","1,74,557","7,84,20,677.00","6,966"
"13-Mar-2025","EQ","462.00","468.05","447.80","458.05","451.10","450.60","456.12","624.40","234.15","1,40,849","6,42,43,843.90","6,571"
"12-Mar-2025","EQ","469.90","477.20","449.10","464.65","459.00","458.05","460.82","624.40","234.15","2,27,471","10,48,23,564.85","11,140"
