"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","173.02","173.37","169.31","168.86","171.94","171.71","171.48","246.30","150.52","1,17,57,223","2,01,61,17,175.18","62,358"
"09-Apr-2025","EQ","172.80","173.57","167.42","172.57","168.90","168.86","169.46","246.30","150.52","80,93,175","1,37,14,42,550.62","69,137"
"08-Apr-2025","EQ","174.42","177.43","169.69","169.03","172.90","172.57","173.21","246.30","150.52","1,12,62,619","1,95,07,42,880.84","69,723"
"07-Apr-2025","EQ","159.80","171.70","159.61","176.61","170.30","169.03","166.56","246.30","150.52","1,46,75,014","2,44,42,35,560.87","1,18,691"
"04-Apr-2025","EQ","183.20","184.90","175.00","183.63","177.00","176.61","178.44","246.30","150.52","1,28,70,074","2,29,65,77,176.62","1,46,793"
"03-Apr-2025","EQ","182.06","185.50","180.57","184.06","183.85","183.63","183.47","246.30","150.52","1,09,99,215","2,01,80,26,380.96","88,489"
"02-Apr-2025","EQ","184.05","186.90","183.10","186.32","183.97","184.06","184.54","246.30","150.52","1,34,88,498","2,48,91,77,826.95","71,180"
"01-Apr-2025","EQ","181.59","186.95","179.67","183.04","186.15","186.32","184.82","246.30","150.52","1,63,73,953","3,02,61,53,120.72","1,02,852"
"28-Mar-2025","EQ","181.99","184.95","180.81","181.56","182.30","183.04","183.48","246.30","150.52","2,28,71,476","4,19,65,65,143.42","1,05,534"
"27-Mar-2025","EQ","172.90","182.25","172.20","174.07","181.55","181.56","179.02","246.30","150.52","2,39,86,738","4,29,41,25,801.57","1,56,874"
"26-Mar-2025","EQ","177.00","179.50","173.42","177.70","174.24","174.07","175.78","246.30","150.52","1,57,88,440","2,77,52,98,660.80","85,884"
"25-Mar-2025","EQ","183.00","183.31","177.00","181.28","177.50","177.70","179.61","246.30","150.52","1,51,35,251","2,71,84,04,445.23","1,08,713"
"24-Mar-2025","EQ","178.76","186.40","178.20","175.05","181.70","181.28","183.13","246.30","150.52","3,39,72,530","6,22,12,93,322.87","1,80,186"
"21-Mar-2025","EQ","168.45","177.33","168.40","168.46","175.25","175.05","174.28","246.30","150.52","3,38,64,565","5,90,18,51,817.37","1,50,872"
"20-Mar-2025","EQ","167.07","169.38","164.65","165.96","168.20","168.46","167.40","246.30","150.52","1,02,68,944","1,71,90,65,260.04","84,518"
"19-Mar-2025","EQ","163.00","166.62","162.62","163.00","165.79","165.96","165.13","246.30","150.52","1,10,02,564","1,81,68,32,160.15","65,831"
"18-Mar-2025","EQ","157.60","164.25","157.10","156.58","164.25","163.00","160.25","246.30","150.52","1,26,30,804","2,02,41,41,502.54","77,672"
"17-Mar-2025","EQ","157.89","159.20","156.41","157.96","156.90","156.58","157.42","246.30","150.52","97,45,451","1,53,41,27,004.94","49,804"
"13-Mar-2025","EQ","159.46","161.30","157.71","159.20","157.85","157.96","159.23","246.30","150.52","92,41,718","1,47,15,31,205.94","57,012"
"12-Mar-2025","EQ","157.40","161.65","157.30","156.78","159.10","159.20","159.40","246.30","150.52","1,28,55,790","2,04,92,23,475.87","64,157"
