"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","890.00","903.40","878.70","860.75","894.50","893.65","891.73","2,174.10","758.00","23,80,909","2,12,31,22,428.65","59,439"
"09-Apr-2025","EQ","874.00","878.95","850.50","875.80","860.40","860.75","859.57","2,174.10","758.00","25,18,172","2,16,45,37,413.40","62,778"
"08-Apr-2025","EQ","899.00","908.10","873.30","873.30","877.00","875.80","885.40","2,174.10","758.00","33,63,547","2,97,80,86,200.80","72,754"
"07-Apr-2025","EQ","850.00","891.95","850.00","923.80","878.00","873.30","869.10","2,174.10","758.00","33,17,613","2,88,33,48,709.85","92,398"
"04-Apr-2025","EQ","949.95","956.00","917.65","955.30","925.50","923.80","933.14","2,174.10","758.00","32,26,540","3,01,08,22,781.95","83,956"
"03-Apr-2025","EQ","927.00","966.50","927.00","943.05","955.30","955.30","950.67","2,174.10","758.00","33,05,378","3,14,23,22,451.10","77,033"
"02-Apr-2025","EQ","926.90","945.10","910.70","919.15","941.80","943.05","931.05","2,174.10","758.00","29,65,379","2,76,09,14,764.15","84,509"
"01-Apr-2025","EQ","948.00","962.00","916.65","948.65","923.00","919.15","932.82","2,174.10","758.00","33,93,666","3,16,56,67,424.40","75,539"
"28-Mar-2025","EQ","967.85","976.45","942.05","959.90","948.00","948.65","959.80","2,174.10","758.00","40,83,088","3,91,89,31,528.25","90,367"
"27-Mar-2025","EQ","910.00","966.60","905.20","912.10","958.00","959.90","941.65","2,174.10","758.00","59,18,219","5,57,28,64,238.75","1,14,942"
"26-Mar-2025","EQ","921.95","942.00","910.00","923.40","912.00","912.10","923.95","2,174.10","758.00","31,94,761","2,95,18,12,953.85","68,042"
"25-Mar-2025","EQ","959.00","966.00","916.00","952.90","918.00","923.40","941.97","2,174.10","758.00","35,04,686","3,30,13,09,638.55","86,827"
"24-Mar-2025","EQ","972.00","981.00","949.05","954.25","952.00","952.90","961.24","2,174.10","758.00","36,32,791","3,49,19,71,910.15","82,594"
"21-Mar-2025","EQ","925.00","983.35","920.55","923.40","957.00","954.25","957.76","2,174.10","758.00","81,47,557","7,80,34,13,714.15","1,69,547"
"20-Mar-2025","EQ","920.30","927.95","902.05","911.20","921.60","923.40","915.92","2,174.10","758.00","32,10,117","2,94,02,00,173.90","68,499"
"19-Mar-2025","EQ","904.05","918.75","901.40","900.90","908.70","911.20","912.49","2,174.10","758.00","29,80,425","2,71,96,04,014.05","63,758"
"18-Mar-2025","EQ","904.70","911.90","889.10","896.45","901.00","900.90","901.65","2,174.10","758.00","42,22,109","3,80,68,67,447.15","92,532"
"17-Mar-2025","EQ","873.65","908.45","868.85","873.65","896.00","896.45","895.06","2,174.10","758.00","59,03,492","5,28,39,95,006.80","1,30,474"
"13-Mar-2025","EQ","874.00","896.85","858.00","853.45","871.90","873.65","880.11","2,174.10","758.00","1,17,79,180","10,36,69,22,595.90","2,14,029"
"12-Mar-2025","EQ","834.40","858.00","806.35","824.20","854.90","853.45","834.59","2,174.10","758.00","48,26,264","4,02,79,45,406.35","88,597"
