"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","501.00","501.00","486.00","482.30","493.90","493.95","491.60","804.90","418.75","32,35,537","1,59,05,88,435.25","43,120"
"09-Apr-2025","EQ","490.00","490.20","477.00","490.25","482.45","482.30","482.11","804.90","418.75","17,65,150","85,09,96,379.75","38,853"
"08-Apr-2025","EQ","502.05","503.55","486.40","488.40","490.90","490.25","493.42","804.90","418.75","18,59,126","91,73,32,334.70","41,890"
"07-Apr-2025","EQ","460.00","492.85","460.00","506.40","491.15","488.40","483.71","804.90","418.75","30,38,809","1,46,99,13,409.30","64,781"
"04-Apr-2025","EQ","524.95","527.55","500.60","527.15","507.80","506.40","509.06","804.90","418.75","43,38,333","2,20,84,78,607.75","66,442"
"03-Apr-2025","EQ","520.15","534.00","518.65","526.25","527.00","527.15","528.77","804.90","418.75","47,38,116","2,50,53,55,029.10","46,140"
"02-Apr-2025","EQ","528.00","532.65","518.00","522.50","526.45","526.25","524.14","804.90","418.75","43,70,554","2,29,07,82,898.15","60,614"
"01-Apr-2025","EQ","532.05","540.85","520.85","537.90","523.60","522.50","527.86","804.90","418.75","33,72,414","1,78,01,54,876.35","61,492"
"28-Mar-2025","EQ","551.90","554.05","534.00","548.35","536.85","537.90","544.34","804.90","418.75","41,23,070","2,24,43,39,885.60","80,126"
"27-Mar-2025","EQ","551.00","554.70","543.35","553.05","545.95","548.35","548.32","804.90","418.75","74,24,905","4,07,11,92,756.55","89,740"
"26-Mar-2025","EQ","552.00","562.70","549.00","555.35","551.00","553.05","555.76","804.90","418.75","24,80,329","1,37,84,62,284.40","55,684"
"25-Mar-2025","EQ","578.00","578.05","552.00","575.25","553.00","555.35","561.45","804.90","418.75","30,22,903","1,69,72,10,981.65","50,023"
"24-Mar-2025","EQ","562.55","579.00","556.85","559.70","576.05","575.25","568.23","804.90","418.75","42,40,378","2,40,95,19,286.80","53,373"
"21-Mar-2025","EQ","563.50","564.90","555.05","562.90","559.90","559.70","559.90","804.90","418.75","31,18,262","1,74,59,27,790.25","50,337"
"20-Mar-2025","EQ","576.00","576.00","552.10","570.75","561.00","562.90","560.11","804.90","418.75","40,63,831","2,27,62,07,313.60","56,863"
"19-Mar-2025","EQ","551.40","574.25","550.55","548.35","567.80","570.75","565.20","804.90","418.75","74,93,067","4,23,50,88,992.05","85,853"
"18-Mar-2025","EQ","533.95","552.15","525.15","527.90","550.00","548.35","538.23","804.90","418.75","59,04,233","3,17,78,56,483.30","63,702"
"17-Mar-2025","EQ","519.00","530.85","516.65","514.10","528.25","527.90","526.21","804.90","418.75","39,34,834","2,07,05,65,850.70","74,846"
"13-Mar-2025","EQ","519.65","523.65","508.10","515.20","513.55","514.10","516.04","804.90","418.75","43,03,396","2,22,07,16,225.15","69,870"
"12-Mar-2025","EQ","517.00","523.85","506.30","513.75","518.00","515.20","515.17","804.90","418.75","49,74,269","2,56,26,10,143.10","67,643"
