"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","419.80","419.80","398.00","388.40","409.00","410.15","405.94","2,109.15","313.40","6,87,814","27,92,11,322.05","13,897"
"09-Apr-2025","EQ","395.00","396.95","384.00","399.85","388.90","388.40","388.85","2,109.15","313.40","4,01,573","15,61,51,743.85","10,226"
"08-Apr-2025","EQ","406.85","407.00","387.95","385.15","400.00","399.85","395.87","2,109.15","313.40","5,60,763","22,19,88,998.90","12,849"
"07-Apr-2025","EQ","367.95","389.70","367.95","408.80","389.35","385.15","377.54","2,109.15","313.40","12,00,751","45,33,28,973.40","24,923"
"04-Apr-2025","EQ","429.00","431.50","408.65","430.15","409.00","408.80","414.58","2,109.15","313.40","8,06,196","33,42,31,849.30","14,592"
"03-Apr-2025","EQ","413.00","441.75","409.05","420.75","431.50","430.15","434.83","2,109.15","313.40","14,51,294","63,10,71,077.65","17,889"
"02-Apr-2025","EQ","416.00","426.60","402.00","412.00","422.10","420.75","416.29","2,109.15","313.40","5,80,097","24,14,90,881.45","13,411"
"01-Apr-2025","EQ","404.90","417.95","402.70","408.50","411.85","412.00","412.06","2,109.15","313.40","4,69,589","19,34,96,988.25","10,614"
"28-Mar-2025","EQ","422.00","424.20","405.75","417.15","407.95","408.50","413.71","2,109.15","313.40","8,62,907","35,69,90,189.80","15,620"
"27-Mar-2025","EQ","404.00","421.00","403.20","407.80","413.00","417.15","412.53","2,109.15","313.40","12,21,615","50,39,51,893.75","21,256"
"26-Mar-2025","EQ","419.00","430.95","406.00","425.00","408.00","407.80","417.18","2,109.15","313.40","8,60,824","35,91,14,298.90","15,349"
"25-Mar-2025","EQ","440.00","444.40","423.00","438.75","423.30","425.00","432.48","2,109.15","313.40","8,28,827","35,84,50,275.00","15,951"
"24-Mar-2025","EQ","433.00","447.60","430.00","428.95","439.00","438.75","438.94","2,109.15","313.40","9,02,704","39,62,35,883.55","24,316"
"21-Mar-2025","EQ","416.20","435.65","414.30","414.95","427.80","428.95","430.08","2,109.15","313.40","13,68,280","58,84,72,746.45","29,598"
"20-Mar-2025","EQ","404.00","416.50","396.10","399.55","415.95","414.95","409.00","2,109.15","313.40","11,78,169","48,18,69,651.60","17,303"
"19-Mar-2025","EQ","386.00","402.15","385.05","383.00","399.75","399.55","397.72","2,109.15","313.40","13,81,712","54,95,39,628.05","16,983"
"18-Mar-2025","EQ","385.00","386.40","380.00","378.55","383.85","383.00","383.43","2,109.15","313.40","6,70,553","25,71,10,663.85","9,735"
"17-Mar-2025","EQ","381.50","394.80","377.10","377.75","379.80","378.55","383.50","2,109.15","313.40","6,46,419","24,79,03,504.65","10,319"
"13-Mar-2025","EQ","382.20","386.65","376.00","382.20","377.85","377.75","379.69","2,109.15","313.40","7,11,563","27,01,69,855.70","8,444"
"12-Mar-2025","EQ","383.55","389.00","376.05","382.50","382.90","382.20","381.94","2,109.15","313.40","4,50,472","17,20,54,486.20","8,987"
