"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","53.96","53.96","52.16","51.21","53.10","53.00","52.85","86.04","37.90","4,95,91,603","2,62,08,14,088.62","1,12,694"
"09-Apr-2025","EQ","53.07","53.76","51.01","53.08","51.23","51.21","51.63","86.04","37.90","5,08,50,121","2,62,56,09,539.80","1,36,700"
"08-Apr-2025","EQ","54.34","54.34","52.73","52.12","53.15","53.08","53.24","86.04","37.90","4,09,49,448","2,18,03,49,619.42","1,04,145"
"07-Apr-2025","EQ","46.90","53.10","46.15","55.36","52.52","52.12","51.17","86.04","37.90","8,19,05,901","4,19,14,21,618.64","2,48,576"
"04-Apr-2025","EQ","57.49","57.50","54.66","57.49","55.40","55.36","55.55","86.04","37.90","5,18,63,551","2,88,11,34,438.68","1,12,511"
"03-Apr-2025","EQ","56.21","57.82","56.20","57.43","57.53","57.49","57.31","86.04","37.90","4,29,14,792","2,45,94,93,820.05","86,561"
"02-Apr-2025","EQ","55.84","57.74","54.36","55.75","57.29","57.43","56.21","86.04","37.90","4,95,30,064","2,78,42,93,808.55","89,687"
"01-Apr-2025","EQ","55.50","56.98","55.11","56.66","55.84","55.75","56.02","86.04","37.90","4,08,10,312","2,28,61,94,041.78","92,873"
"28-Mar-2025","EQ","57.36","58.40","56.40","57.01","56.75","56.66","57.42","86.04","36.80","4,33,76,048","2,49,07,12,153.82","86,045"
"27-Mar-2025","EQ","57.11","57.94","56.44","57.43","56.90","57.01","57.17","86.04","36.80","4,96,78,644","2,83,98,92,137.55","98,229"
"26-Mar-2025","EQ","57.90","58.63","56.30","57.65","57.42","57.43","57.40","86.04","36.80","5,22,50,161","2,99,92,16,736.14","97,746"
"25-Mar-2025","EQ","58.46","59.48","57.05","57.91","57.57","57.65","58.27","86.04","36.80","6,66,15,843","3,88,14,97,291.71","1,45,639"
"24-Mar-2025","EQ","57.69","58.36","57.05","56.50","57.90","57.91","57.68","86.04","36.80","5,83,67,956","3,36,67,33,073.42","1,22,645"
"21-Mar-2025","EQ","58.38","58.65","55.94","58.39","56.79","56.50","57.05","86.04","35.60","10,47,24,888","5,97,49,54,158.72","1,96,314"
"20-Mar-2025","EQ","58.90","59.40","56.68","57.76","58.38","58.39","58.08","86.04","35.60","5,17,29,766","3,00,43,40,071.21","1,11,909"
"19-Mar-2025","EQ","55.39","58.00","55.34","54.98","57.79","57.76","56.92","86.04","35.60","7,94,65,967","4,52,29,94,724.35","1,50,367"
"18-Mar-2025","EQ","55.35","55.55","54.76","54.50","55.00","54.98","55.07","86.04","35.60","4,23,39,442","2,33,16,82,371.02","90,440"
"17-Mar-2025","EQ","54.74","56.50","54.25","54.58","54.50","54.50","55.44","86.04","35.60","5,41,33,951","3,00,13,40,422.27","1,36,012"
"13-Mar-2025","EQ","54.35","55.00","53.62","53.85","54.74","54.58","54.40","86.04","35.50","4,38,37,645","2,38,46,14,839.21","85,175"
"12-Mar-2025","EQ","54.06","54.45","52.77","53.76","53.91","53.85","53.72","86.04","35.50","4,83,14,005","2,59,55,03,174.30","86,316"
