"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Apr-2025","EQ","368.10","368.90","362.10","358.25","364.90","364.45","365.12","494.85","326.35","51,87,303","1,89,40,10,787.20","58,346"
"09-Apr-2025","EQ","359.70","363.00","354.15","359.70","358.50","358.25","358.35","494.85","326.35","43,43,527","1,55,65,22,451.50","47,858"
"08-Apr-2025","EQ","360.25","370.70","356.00","354.85","359.90","359.70","360.46","494.85","326.35","63,17,158","2,27,70,97,515.25","83,780"
"07-Apr-2025","EQ","337.00","358.70","335.00","368.95","356.80","354.85","351.77","494.85","326.35","99,06,124","3,48,46,30,644.25","1,23,590"
"04-Apr-2025","EQ","383.80","388.20","367.10","385.65","369.50","368.95","377.32","494.85","326.35","76,09,077","2,87,10,67,369.15","92,340"
"03-Apr-2025","EQ","374.00","387.30","373.55","378.25","386.40","385.65","383.43","494.85","326.35","65,80,525","2,52,31,57,008.60","58,577"
"02-Apr-2025","EQ","374.75","379.20","368.30","374.75","378.00","378.25","375.11","494.85","326.35","32,83,925","1,23,18,37,138.80","45,272"
"01-Apr-2025","EQ","372.45","379.75","370.60","375.40","375.00","374.75","375.80","494.85","326.35","34,14,174","1,28,30,47,591.70","45,826"
"28-Mar-2025","EQ","384.05","386.05","373.30","383.40","375.20","375.40","379.13","494.85","326.35","64,58,106","2,44,84,60,667.70","66,708"
"27-Mar-2025","EQ","374.50","384.80","372.35","376.00","384.05","383.40","379.10","494.85","326.35","62,87,597","2,38,36,47,702.70","64,805"
"26-Mar-2025","EQ","377.10","381.00","374.60","377.10","375.50","376.00","378.19","494.85","326.35","80,48,272","3,04,37,42,668.40","61,973"
"25-Mar-2025","EQ","385.00","385.90","375.50","383.30","376.00","377.10","380.02","494.85","326.35","60,63,608","2,30,43,20,943.55","71,371"
"24-Mar-2025","EQ","385.00","385.00","379.60","379.50","382.85","383.30","382.65","494.85","326.35","61,77,301","2,36,37,16,274.95","65,935"
"21-Mar-2025","EQ","370.35","381.90","370.25","370.35","380.00","379.50","377.59","494.85","326.35","75,59,436","2,85,43,38,526.75","76,684"
"20-Mar-2025","EQ","374.80","374.80","367.55","371.45","370.50","370.35","370.89","494.85","326.35","46,78,329","1,73,51,60,231.70","55,843"
"19-Mar-2025","EQ","363.90","373.30","363.00","362.70","371.25","371.45","369.41","494.85","326.35","78,75,564","2,90,93,02,985.65","75,790"
"18-Mar-2025","EQ","352.05","363.70","351.80","350.75","363.00","362.70","359.71","494.85","326.35","70,96,285","2,55,25,90,674.75","65,571"
"17-Mar-2025","EQ","350.80","354.60","349.00","350.75","351.10","350.75","351.52","494.85","326.35","39,97,959","1,40,53,64,386.20","60,019"
"13-Mar-2025","EQ","360.50","360.80","350.00","356.25","350.80","350.75","353.29","494.85","326.35","48,98,500","1,73,05,74,985.95","59,396"
"12-Mar-2025","EQ","353.55","359.60","351.00","352.45","356.00","356.25","355.34","494.85","326.35","52,85,957","1,87,83,07,671.10","52,158"
